cpu process,memory process,recv,send,read,writ,time,input,output,binput,boutput
0,261976064,163,757,0,12288,03-09 11:14:56,43,245,0,4096
0,261976064,163,757,0,0,03-09 11:14:57,3770,245,0,4096
0,261976064,272,1324,0,0,03-09 11:14:58,43,427,0,4096
0,261976064,163,765,0,0,03-09 11:14:59,43,245,0,4096
0,261976064,163,765,0,106496,03-09 11:15:00,3770,245,0,8192
0,261976064,272,1340,0,28672,03-09 11:15:01,43,427,0,4096
6,261976064,27769756,69125,151552,0,03-09 11:15:02,27689173,27681671,151552,27688960
0,261976064,268264,4040,0,0,03-09 11:15:03,266641,267568,0,270336
0,261976064,272,1340,0,0,03-09 11:15:04,43,427,0,270336
1,261976064,28360,27738184,0,0,03-09 11:15:05,27675864,27688795,0,270336
0,261976064,816,268103,0,40960,03-09 11:15:06,266412,266480,0,270336
0,261976064,272,1226,0,0,03-09 11:15:07,43,427,0,270336
0,261976064,163,675,0,0,03-09 11:15:08,43,245,0,270336
0,261976064,163,765,0,0,03-09 11:15:09,3770,245,0,270336
0,261976064,404,1358,0,0,03-09 11:15:10,43,427,0,270336
0,261976064,163,675,0,16384,03-09 11:15:11,43,245,0,270336
0,261976064,163,667,0,0,03-09 11:15:12,3770,245,0,270336
2,261976064,5630,2367,1482752,0,03-09 11:15:13,111550,4584,1376256,32768
49,261976064,135670125,27785438,131072,0,03-09 11:15:14,173261436,173173771,237568,173182976
31,262209536,92924,28282530,3223552,74104832,03-09 11:15:15,152137897,151992380,53248,152408064
10,262156288,981,269636,7426048,0,03-09 11:15:16,1859191,8,7290880,32768
32,262156288,295,903,18247680,389120,03-09 11:15:17,26687554,0,18268160,0
17,262156288,229,2123,14462976,0,03-09 11:15:18,1654595,353,14491648,4096
52,262156288,404,1496,4673536,0,03-09 11:15:19,3526937,590,4673536,0
42,262156288,2553,2195,1622016,21446656,03-09 11:15:20,2179889,1171,1626112,0
52,262156288,2580,6476,1695744,110411776,03-09 11:15:21,2563086,5603,1687552,0
7,262156288,272,1448,0,241664,03-09 11:15:22,1622,2,1687552,0
38,262156288,53092,4452,2744320,61440,03-09 11:15:23,2716350,62609,2662400,65536
56,325853184,10682,5876,4509696,0,03-09 11:15:24,2111505,5932,4591616,0
46,351174656,264149,134624,0,0,03-09 11:15:25,567235,121991,0,4096
38,374661120,262370,162368,0,0,03-09 11:15:26,295028,159184,0,8192
1,374661120,163,889,0,77824,03-09 11:15:27,23908,345,0,8192
0,374661120,952,2136,0,0,03-09 11:15:28,645910,346,0,8192
0,374661120,163,856,0,0,03-09 11:15:29,43,345,0,8192
23,386801664,193265,85480,0,0,03-09 11:15:30,176545,77462,0,4096
15,390930432,11534,13238,0,0,03-09 11:15:31,20289,15481,0,4096
0,390930432,2169,3577,0,45056,03-09 11:15:32,946,554,0,4096
1,390930432,1369,1933,0,0,03-09 11:15:33,23908,345,0,4096
0,390930432,1880,2456,0,0,03-09 11:15:34,828,420,0,4096
60,402956288,40665,5290,1736704,0,03-09 11:15:35,2538015,3490,1736704,0
74,480235520,163,889,90112,0,03-09 11:15:36,2510467,77,90112,0
89,496828416,44057,3594,8601600,0,03-09 11:15:37,7266471,7269674,7720960,0
93,584282112,463,4768,2883584,61440,03-09 11:15:38,3039232,3039634,3145728,0
87,697794560,217,1519,6684672,0,03-09 11:15:39,6541312,6541821,6684672,0
52,817209344,272,1448,8912896,0,03-09 11:15:40,9179179,9185408,8912896,0
51,974540800,163,889,8519680,0,03-09 11:15:41,8187904,8193796,8257536,0
50,1021030400,163,889,10223616,0,03-09 11:15:42,10436608,10440482,10485760,0
50,1032114176,272,1448,11141120,12288,03-09 11:15:43,11030571,11035620,11141120,0
52,1041260544,163,889,10878976,0,03-09 11:15:44,10698752,10704798,10616832,0
50,1049886720,163,889,11010048,0,03-09 11:15:45,11296768,11299509,11272192,0
50,1059348480,314,1490,11931648,19329024,03-09 11:15:46,11821099,11828568,11927552,8192
54,1068298240,361,1087,11403264,0,03-09 11:15:47,11493376,11497746,11403264,0
51,1082724352,463,5970,10747904,0,03-09 11:15:48,10764288,10770877,10747904,0
50,1090564096,272,1448,12079104,94208,03-09 11:15:49,11956267,11960726,11816960,4096
49,1098674176,163,889,9437184,0,03-09 11:15:50,9773056,9779692,9699328,0
54,1107316736,429,1315,2146304,544768,03-09 11:15:51,8974342,785,2113536,8192
89,1204473856,272,1448,0,0,03-09 11:15:52,402816,0,2113536,8192
86,1224572928,11625,8777,10997760,0,03-09 11:15:53,10305660,10308881,10735616,0
94,1282252800,163,889,6160384,90112,03-09 11:15:54,6012928,6013189,6160384,0
66,1285566464,272,1448,9699328,0,03-09 11:15:55,9969707,9978356,9961472,0
51,1283055616,163,889,10878976,0,03-09 11:15:56,10833920,10836956,10878976,0
52,1275879424,163,889,11403264,0,03-09 11:15:57,11292672,11299509,11272192,0
50,1275879424,572,5261,11796480,0,03-09 11:15:58,11890731,11894647,11927552,0
50,1275879424,163,889,10878976,12288,03-09 11:15:59,11030528,11035193,10878976,0
51,1277448192,163,889,11665408,0,03-09 11:16:00,11423744,11431667,11665408,0
52,1296101376,272,1514,9961472,0,03-09 11:16:01,9908267,9912277,9699328,0
51,1311526912,349,1585,9830400,0,03-09 11:16:02,9842688,9845771,9830400,0
50,1331331072,229,2289,11010048,0,03-09 11:16:03,11096064,11101272,11010048,0
51,1354854400,272,1448,11816960,0,03-09 11:16:04,11821099,11828568,11816960,0
67,1369321472,163,889,4718592,16384,03-09 11:16:05,4952064,4955925,4980736,0
50,1374822400,134052,2467,4456448,0,03-09 11:16:06,11976460,127,4456448,0
85,1450004480,11732,9254,8769536,0,03-09 11:16:07,8126631,8128701,8769536,0
68,1469906944,463,4612,6946816,0,03-09 11:16:08,6737920,6740058,6684672,0
52,1530912768,163,889,10747904,0,03-09 11:16:09,11161600,11167351,11010048,0
51,1533161472,272,1448,12713984,53248,03-09 11:16:10,12484651,12489358,12713984,0
50,1530007552,205,955,11403264,0,03-09 11:16:11,11423744,11431667,11403264,0
50,1530105856,163,865,11010048,0,03-09 11:16:12,10964992,10969114,10747904,0
52,1530105856,272,1448,10616832,0,03-09 11:16:13,10567723,10573067,10616832,0
52,1530105856,163,889,11403264,0,03-09 11:16:14,11624448,11629904,11665408,0
54,1538215936,163,889,10485760,0,03-09 11:16:15,10436608,10440482,10485760,0
58,1543622656,272,1448,10878976,53248,03-09 11:16:16,10764331,10771304,10878976,8192
52,1554165760,361,1087,11014144,0,03-09 11:16:17,11227136,11233430,11010048,0
51,1567686656,463,5970,11554816,0,03-09 11:16:18,11558912,11563825,11554816,0
58,1588211712,272,1448,7733248,0,03-09 11:16:19,8187954,8193711,7733248,4096
62,1595355136,133746,2173,0,0,03-09 11:16:20,6277986,485,7733248,4096
62,1681412096,11623,8785,11915264,53248,03-09 11:16:21,11362428,11366145,11915264,0
81,1720119296,272,1448,2621440,0,03-09 11:16:22,2510891,2511429,2359296,0
