2019-09-03 11:15:24 INFO  DAGScheduler:54 - ResultStage 0 (load at SparkBDCA.scala:160) finished in 2.562 s
2019-09-03 11:15:25 INFO  DAGScheduler:54 - ResultStage 1 (load at SparkBDCA.scala:160) finished in 0.804 s
2019-09-03 11:15:29 INFO  DAGScheduler:54 - ResultStage 2 (load at SparkBDCA.scala:160) finished in 0.888 s
2019-09-03 11:15:30 INFO  DAGScheduler:54 - ResultStage 3 (load at SparkBDCA.scala:161) finished in 0.362 s
2019-09-03 11:15:31 INFO  DAGScheduler:54 - ResultStage 4 (load at SparkBDCA.scala:161) finished in 0.803 s
2019-09-03 11:15:31 INFO  DAGScheduler:54 - ResultStage 5 (show at SparkBDCA.scala:167) finished in 0.246 s
2019-09-03 11:15:32 INFO  DAGScheduler:54 - ResultStage 6 (show at SparkBDCA.scala:182) finished in 0.325 s
2019-09-03 11:15:33 INFO  DAGScheduler:54 - ResultStage 7 (show at SparkBDCA.scala:193) finished in 0.189 s
2019-09-03 11:21:18 INFO  DAGScheduler:54 - ShuffleMapStage 8 (treeAggregate at LogisticRegression.scala:520) finished in 344.529 s
2019-09-03 11:21:19 INFO  DAGScheduler:54 - ResultStage 9 (treeAggregate at LogisticRegression.scala:520) finished in 0.475 s
2019-09-03 11:21:43 INFO  DAGScheduler:54 - ShuffleMapStage 10 (treeAggregate at RDDLossFunction.scala:61) finished in 24.142 s
2019-09-03 11:21:44 INFO  DAGScheduler:54 - ResultStage 11 (treeAggregate at RDDLossFunction.scala:61) finished in 0.103 s
2019-09-03 11:22:02 INFO  DAGScheduler:54 - ShuffleMapStage 12 (treeAggregate at RDDLossFunction.scala:61) finished in 18.721 s
2019-09-03 11:22:02 INFO  DAGScheduler:54 - ResultStage 13 (treeAggregate at RDDLossFunction.scala:61) finished in 0.081 s
2019-09-03 11:22:21 INFO  DAGScheduler:54 - ShuffleMapStage 14 (treeAggregate at RDDLossFunction.scala:61) finished in 18.767 s
2019-09-03 11:22:21 INFO  DAGScheduler:54 - ResultStage 15 (treeAggregate at RDDLossFunction.scala:61) finished in 0.096 s
2019-09-03 11:22:38 INFO  DAGScheduler:54 - ShuffleMapStage 16 (treeAggregate at RDDLossFunction.scala:61) finished in 16.476 s
2019-09-03 11:22:38 INFO  DAGScheduler:54 - ResultStage 17 (treeAggregate at RDDLossFunction.scala:61) finished in 0.084 s
2019-09-03 11:22:55 INFO  DAGScheduler:54 - ShuffleMapStage 18 (treeAggregate at RDDLossFunction.scala:61) finished in 17.529 s
2019-09-03 11:22:56 INFO  DAGScheduler:54 - ResultStage 19 (treeAggregate at RDDLossFunction.scala:61) finished in 0.075 s
2019-09-03 11:23:13 INFO  DAGScheduler:54 - ShuffleMapStage 20 (treeAggregate at RDDLossFunction.scala:61) finished in 17.717 s
2019-09-03 11:23:13 INFO  DAGScheduler:54 - ResultStage 21 (treeAggregate at RDDLossFunction.scala:61) finished in 0.081 s
2019-09-03 11:23:30 INFO  DAGScheduler:54 - ShuffleMapStage 22 (treeAggregate at RDDLossFunction.scala:61) finished in 16.606 s
2019-09-03 11:23:30 INFO  DAGScheduler:54 - ResultStage 23 (treeAggregate at RDDLossFunction.scala:61) finished in 0.095 s
2019-09-03 11:23:47 INFO  DAGScheduler:54 - ShuffleMapStage 24 (treeAggregate at RDDLossFunction.scala:61) finished in 17.173 s
2019-09-03 11:23:47 INFO  DAGScheduler:54 - ResultStage 25 (treeAggregate at RDDLossFunction.scala:61) finished in 0.072 s
2019-09-03 11:24:05 INFO  DAGScheduler:54 - ShuffleMapStage 26 (treeAggregate at RDDLossFunction.scala:61) finished in 17.192 s
2019-09-03 11:24:05 INFO  DAGScheduler:54 - ResultStage 27 (treeAggregate at RDDLossFunction.scala:61) finished in 0.093 s
2019-09-03 11:28:48 INFO  DAGScheduler:54 - ShuffleMapStage 28 (countByValue at MulticlassMetrics.scala:42) finished in 282.640 s
2019-09-03 11:28:49 INFO  DAGScheduler:54 - ResultStage 29 (countByValue at MulticlassMetrics.scala:42) finished in 0.230 s
2019-09-03 11:29:00 INFO  DAGScheduler:54 - ShuffleMapStage 30 (map at MulticlassMetrics.scala:45) finished in 11.569 s
2019-09-03 11:29:00 INFO  DAGScheduler:54 - ResultStage 31 (collectAsMap at MulticlassMetrics.scala:48) finished in 0.193 s
2019-09-03 11:34:27 INFO  DAGScheduler:54 - ShuffleMapStage 32 (treeAggregate at LogisticRegression.scala:520) finished in 326.730 s
2019-09-03 11:34:27 INFO  DAGScheduler:54 - ResultStage 33 (treeAggregate at LogisticRegression.scala:520) finished in 0.118 s
2019-09-03 11:34:52 INFO  DAGScheduler:54 - ShuffleMapStage 34 (treeAggregate at RDDLossFunction.scala:61) finished in 24.568 s
2019-09-03 11:34:52 INFO  DAGScheduler:54 - ResultStage 35 (treeAggregate at RDDLossFunction.scala:61) finished in 0.091 s
2019-09-03 11:35:11 INFO  DAGScheduler:54 - ShuffleMapStage 36 (treeAggregate at RDDLossFunction.scala:61) finished in 18.792 s
2019-09-03 11:35:11 INFO  DAGScheduler:54 - ResultStage 37 (treeAggregate at RDDLossFunction.scala:61) finished in 0.070 s
2019-09-03 11:35:30 INFO  DAGScheduler:54 - ShuffleMapStage 38 (treeAggregate at RDDLossFunction.scala:61) finished in 18.440 s
2019-09-03 11:35:30 INFO  DAGScheduler:54 - ResultStage 39 (treeAggregate at RDDLossFunction.scala:61) finished in 0.080 s
2019-09-03 11:35:45 INFO  DAGScheduler:54 - ShuffleMapStage 40 (treeAggregate at RDDLossFunction.scala:61) finished in 15.701 s
2019-09-03 11:35:45 INFO  DAGScheduler:54 - ResultStage 41 (treeAggregate at RDDLossFunction.scala:61) finished in 0.109 s
2019-09-03 11:36:03 INFO  DAGScheduler:54 - ShuffleMapStage 42 (treeAggregate at RDDLossFunction.scala:61) finished in 17.068 s
2019-09-03 11:36:03 INFO  DAGScheduler:54 - ResultStage 43 (treeAggregate at RDDLossFunction.scala:61) finished in 0.062 s
2019-09-03 11:36:20 INFO  DAGScheduler:54 - ShuffleMapStage 44 (treeAggregate at RDDLossFunction.scala:61) finished in 17.314 s
2019-09-03 11:36:20 INFO  DAGScheduler:54 - ResultStage 45 (treeAggregate at RDDLossFunction.scala:61) finished in 0.068 s
2019-09-03 11:36:37 INFO  DAGScheduler:54 - ShuffleMapStage 46 (treeAggregate at RDDLossFunction.scala:61) finished in 16.835 s
2019-09-03 11:36:37 INFO  DAGScheduler:54 - ResultStage 47 (treeAggregate at RDDLossFunction.scala:61) finished in 0.095 s
2019-09-03 11:36:54 INFO  DAGScheduler:54 - ShuffleMapStage 48 (treeAggregate at RDDLossFunction.scala:61) finished in 17.043 s
2019-09-03 11:36:54 INFO  DAGScheduler:54 - ResultStage 49 (treeAggregate at RDDLossFunction.scala:61) finished in 0.061 s
2019-09-03 11:37:11 INFO  DAGScheduler:54 - ShuffleMapStage 50 (treeAggregate at RDDLossFunction.scala:61) finished in 17.110 s
2019-09-03 11:37:11 INFO  DAGScheduler:54 - ResultStage 51 (treeAggregate at RDDLossFunction.scala:61) finished in 0.099 s
