2019-09-03 04:52:21 INFO  DAGScheduler:54 - ResultStage 0 (load at SparkBDCA.scala:820) finished in 2.752 s
2019-09-03 04:52:24 INFO  DAGScheduler:54 - ResultStage 1 (load at SparkBDCA.scala:821) finished in 2.598 s
2019-09-03 04:52:24 INFO  DAGScheduler:54 - ResultStage 2 (show at SparkBDCA.scala:823) finished in 0.276 s
2019-09-03 04:52:52 INFO  DAGScheduler:54 - ShuffleMapStage 3 (countByValue at StringIndexer.scala:140) finished in 26.839 s
2019-09-03 04:52:52 INFO  DAGScheduler:54 - ResultStage 4 (countByValue at StringIndexer.scala:140) finished in 0.299 s
2019-09-03 04:53:02 INFO  DAGScheduler:54 - ShuffleMapStage 5 (countByValue at StringIndexer.scala:140) finished in 10.372 s
2019-09-03 04:53:02 INFO  DAGScheduler:54 - ResultStage 6 (countByValue at StringIndexer.scala:140) finished in 0.093 s
2019-09-03 04:53:03 INFO  DAGScheduler:54 - ResultStage 7 (show at SparkBDCA.scala:849) finished in 0.201 s
2019-09-03 04:53:04 INFO  DAGScheduler:54 - ResultStage 8 (show at SparkBDCA.scala:857) finished in 0.152 s
2019-09-03 04:54:49 INFO  DAGScheduler:54 - ShuffleMapStage 9 (treeAggregate at LogisticRegression.scala:520) finished in 104.453 s
2019-09-03 04:54:49 INFO  DAGScheduler:54 - ResultStage 10 (treeAggregate at LogisticRegression.scala:520) finished in 0.084 s
2019-09-03 04:55:04 INFO  DAGScheduler:54 - ShuffleMapStage 11 (treeAggregate at RDDLossFunction.scala:61) finished in 14.539 s
2019-09-03 04:55:04 INFO  DAGScheduler:54 - ResultStage 12 (treeAggregate at RDDLossFunction.scala:61) finished in 0.051 s
2019-09-03 04:55:14 INFO  DAGScheduler:54 - ShuffleMapStage 13 (treeAggregate at RDDLossFunction.scala:61) finished in 9.927 s
2019-09-03 04:55:14 INFO  DAGScheduler:54 - ResultStage 14 (treeAggregate at RDDLossFunction.scala:61) finished in 0.057 s
2019-09-03 04:56:26 INFO  DAGScheduler:54 - ShuffleMapStage 15 (countByValue at MulticlassMetrics.scala:42) finished in 71.554 s
