cpu process,memory process,recv,send,read,writ,time,input,output,binput,boutput
0,301920256,272,1234,0,36864,02-09 14:52:55,3762,245,0,12288
0,301920256,163,781,0,0,02-09 14:52:56,43,245,0,12288
0,301920256,163,675,0,0,02-09 14:52:57,43,245,0,12288
0,301920256,272,1234,0,0,02-09 14:52:58,3762,245,0,8192
0,301920256,163,691,0,20480,02-09 14:52:59,43,245,0,8192
0,301920256,163,667,0,0,02-09 14:53:00,43,245,0,8192
1,301920256,272,1292,4096,0,02-09 14:53:01,3762,245,4096,4096
0,301920256,268713,4876,221184,0,02-09 14:53:02,266640,267567,221184,278528
0,301920256,163,789,0,0,02-09 14:53:03,43,245,221184,278528
0,301920256,272,1324,0,0,02-09 14:53:04,3762,245,221184,278528
0,301920256,2366,251693,0,65536,02-09 14:53:05,266409,266480,221184,278528
0,301920256,163,19357,0,0,02-09 14:53:06,43,245,221184,278528
0,301920256,272,1316,0,0,02-09 14:53:07,3762,245,221184,278528
0,301920256,163,757,0,0,02-09 14:53:08,43,245,221184,278528
0,301920256,163,831,0,0,02-09 14:53:09,43,245,221184,278528
0,301920256,338,1382,4096,20480,02-09 14:53:10,3762,245,221184,278528
0,301920256,163,757,4096,0,02-09 14:53:11,43,465,4096,4096
0,301920256,163,789,0,0,02-09 14:53:12,43,245,4096,4096
0,301920256,272,1316,0,0,02-09 14:53:13,3762,245,4096,4096
0,301920256,163,765,0,0,02-09 14:53:14,43,245,4096,4096
39,302374912,143641339,158101,675840,73728,02-09 14:53:15,138945807,138700196,675840,138723328
36,302481408,19794528,289381,188416,96567296,02-09 14:53:16,186211859,186230900,151552,186593280
19,304537600,47243,271526,13750272,0,02-09 14:53:17,14704032,8,12955648,32768
25,304545792,163,837,6213632,0,02-09 14:53:18,13770634,0,6201344,0
3,304545792,338,1438,13135872,0,02-09 14:53:19,355432,0,13148160,0
15,304545792,361,1077,10444800,315392,02-09 14:53:20,1691126,353,10436608,4096
29,304545792,361,1085,2523136,19263488,02-09 14:53:21,1651840,6,2531328,0
49,304545792,338,1423,2854912,69697536,02-09 14:53:22,2949469,584,2850816,0
63,304545792,4795,7753,1732608,0,02-09 14:53:23,3355450,6770,1732608,0
0,304545792,163,954,0,0,02-09 14:53:24,1622,0,1732608,0
0,304545792,326,2054,0,90112,02-09 14:53:25,24555,345,1732608,0
0,304545792,163,865,0,0,02-09 14:53:26,43,345,1732608,0
0,304545792,229,997,0,0,02-09 14:53:27,43,346,1732608,0
0,304545792,272,1416,0,0,02-09 14:53:28,24555,345,1732608,0
0,304545792,163,865,0,0,02-09 14:53:29,43,345,1732608,0
15,304545792,967,1457,0,0,02-09 14:53:30,29795,212,1732608,0
1,304545792,272,1424,0,12288,02-09 14:53:31,24555,345,1732608,0
0,304545792,295,2199,0,0,02-09 14:53:32,2,1204,1732608,0
0,304545792,9070,923,8192,0,02-09 14:53:33,16252,0,1732608,0
56,304545792,10796,4763,2465792,61440,02-09 14:53:34,2851317,62610,2473984,65536
68,327401472,163,889,90112,0,02-09 14:53:35,2710570,77,90112,0
76,360984576,43105,2881,2715648,0,02-09 14:53:36,3067770,1635,2715648,0
61,422752256,4181,2215,5033984,69632,02-09 14:53:37,1883744,55,5033984,0
72,446308352,290,1123,23506944,0,02-09 14:53:38,22524027,22533496,23183360,0
54,498888704,463,4273,28573696,0,02-09 14:53:39,28139520,28149654,28049408,0
49,612933632,1370,109147,28442624,0,02-09 14:53:40,28995751,29009850,28704768,4096
49,700788736,163,889,30408704,0,02-09 14:53:41,30314496,30330261,30146560,0
53,713506816,12661,6597,32260096,20480,02-09 14:53:42,33227008,33238524,33300480,0
72,803790848,272,1448,27262976,0,02-09 14:53:43,26615851,26630264,26476544,0
51,804495360,163,889,37224448,0,02-09 14:53:44,36790272,36806003,36700160,0
50,898564096,163,889,31981568,0,02-09 14:53:45,32030720,32048315,32243712,0
50,899203072,147767,114010,40116224,3629056,02-09 14:53:46,39964972,39979009,39854080,4096
51,945500160,1711,100268,38551552,4096,02-09 14:53:47,38506620,38524799,38551552,16384
51,946200576,217,1527,40501248,0,02-09 14:53:48,41148416,41167217,41025536,0
51,948699136,572,4832,41312256,0,02-09 14:53:49,41480235,41498039,41308160,0
56,949932032,190172,8641,40337408,0,02-09 14:53:50,39891077,39911761,39813120,0
49,952610816,1225,94650,42745856,0,02-09 14:53:51,42934396,42952092,43270144,0
49,953151488,338,1770,40919040,516096,02-09 14:53:52,40886315,40903328,40652800,0
50,955097088,125315,7981,39419904,0,02-09 14:53:53,40022149,40043919,39944192,0
49,955637760,163,889,44171264,0,02-09 14:53:54,43790336,43810377,43515904,0
49,957792256,272,1448,38486016,0,02-09 14:53:55,39366699,39383511,39665664,0
54,958439424,14572962,23035,21553152,0,02-09 14:53:56,21715337,21729110,21028864,0
50,960860160,45354491,46735,49152,110592,02-09 14:53:57,45136872,0,49152,8192
