"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster7-worker7-0",,,,"User:","ubuntu"
"Cmdline:","dstat --io --top-bio --cpu --mem --net --disk --output /home/ubuntu/Cloud/OpenStack/resourceUsage/RFBot-compress.csv -t 1",,,,"Date:","05 Sep 2019 11:09:03 UTC"

"io/total",,"most expensive","total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"system"
"read","writ","block i/o process","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","time"
21.689,1.121,java / 373015:177657,2.896,0.210,96.736,0.137,0.0,0.021,695926784.0,3788800.0,43089920.0,3400519680.0,0.0,0.0,960367.546,270304.156,05-09 11:09:03,
4.0,0.0,java / 373015:177657,0.505,0.505,98.990,0.0,0.0,0.0,695844864.0,3788800.0,43188224.0,3400503296.0,272.0,1754.0,0.0,0.0,05-09 11:09:04,
0.0,0.0,java / 373015:177657,0.0,0.0,100.0,0.0,0.0,0.0,695844864.0,3788800.0,43188224.0,3400503296.0,163.0,683.0,0.0,0.0,05-09 11:09:05,
0.0,0.0,java / 373015:177657,0.498,0.498,99.005,0.0,0.0,0.0,695844864.0,3788800.0,43188224.0,3400503296.0,163.0,683.0,0.0,0.0,05-09 11:09:06,
0.0,0.0,java / 373015:177657,0.503,0.0,99.497,0.0,0.0,0.0,695844864.0,3788800.0,43188224.0,3400503296.0,272.0,1242.0,0.0,0.0,05-09 11:09:07,
0.0,0.0,java / 373015:177657,0.500,0.0,99.500,0.0,0.0,0.0,695971840.0,3788800.0,43188224.0,3400376320.0,205.0,725.0,0.0,0.0,05-09 11:09:08,
0.0,2.0,java / 373015:177657,0.503,0.0,98.492,1.005,0.0,0.0,695963648.0,3796992.0,43188224.0,3400376320.0,163.0,683.0,0.0,28672.0,05-09 11:09:09,
0.0,0.0,java / 373015:177657,0.995,0.0,99.005,0.0,0.0,0.0,695930880.0,3796992.0,43188224.0,3400409088.0,272.0,1242.0,0.0,0.0,05-09 11:09:10,
0.0,0.0,java / 373015:177657,0.0,0.0,100.0,0.0,0.0,0.0,695930880.0,3796992.0,43188224.0,3400409088.0,163.0,683.0,0.0,0.0,05-09 11:09:11,
0.0,0.0,java / 373015:177657,0.503,0.0,99.497,0.0,0.0,0.0,695930880.0,3796992.0,43188224.0,3400409088.0,163.0,683.0,0.0,0.0,05-09 11:09:12,
0.0,0.0,java / 373015:177657,0.498,0.498,99.005,0.0,0.0,0.0,695930880.0,3796992.0,43188224.0,3400409088.0,272.0,1242.0,0.0,0.0,05-09 11:09:13,
0.0,6.0,java / 0:12288,0.0,0.0,100.0,0.0,0.0,0.0,695930880.0,3796992.0,43188224.0,3400409088.0,163.0,683.0,0.0,32768.0,05-09 11:09:14,
0.0,2.0,java / 0:12288,0.503,0.0,98.492,1.005,0.0,0.0,695922688.0,3805184.0,43188224.0,3400409088.0,163.0,707.0,0.0,20480.0,05-09 11:09:15,
0.0,0.0,java / 0:4096,0.0,0.500,99.500,0.0,0.0,0.0,695922688.0,3805184.0,43188224.0,3400409088.0,272.0,1242.0,0.0,0.0,05-09 11:09:16,
0.0,0.0,java / 0:4096,0.500,0.0,99.500,0.0,0.0,0.0,695922688.0,3805184.0,43188224.0,3400409088.0,295.0,765.0,0.0,0.0,05-09 11:09:17,
0.0,0.0,java / 0:4096,0.0,0.0,100.0,0.0,0.0,0.0,695889920.0,3805184.0,43188224.0,3400441856.0,163.0,1951.0,0.0,0.0,05-09 11:09:18,
0.0,0.0,java / 0:4096,0.500,0.500,99.0,0.0,0.0,0.0,695889920.0,3805184.0,43188224.0,3400441856.0,272.0,1242.0,0.0,0.0,05-09 11:09:19,
0.0,0.0,java / 0:4096,0.0,0.500,99.500,0.0,0.0,0.0,695889920.0,3805184.0,43188224.0,3400441856.0,163.0,683.0,0.0,0.0,05-09 11:09:20,
0.0,2.0,java / 0:4096,0.500,0.0,99.0,0.500,0.0,0.0,695881728.0,3813376.0,43188224.0,3400441856.0,163.0,683.0,0.0,16384.0,05-09 11:09:21,
0.0,0.0,java / 0:4096,0.0,0.503,99.497,0.0,0.0,0.0,695881728.0,3813376.0,43188224.0,3400441856.0,272.0,1242.0,0.0,0.0,05-09 11:09:22,
0.0,0.0,java / 0:4096,0.0,0.500,99.500,0.0,0.0,0.0,695881728.0,3813376.0,43188224.0,3400441856.0,163.0,683.0,0.0,0.0,05-09 11:09:23,
0.0,3.0,java / 0:4096,0.500,0.0,99.500,0.0,0.0,0.0,695881728.0,3813376.0,43188224.0,3400441856.0,163.0,683.0,0.0,12288.0,05-09 11:09:24,
0.0,0.0,java / 0:4096,0.500,0.500,99.0,0.0,0.0,0.0,695881728.0,3813376.0,43188224.0,3400441856.0,272.0,1242.0,0.0,0.0,05-09 11:09:25,
0.0,0.0,java / 0:4096,0.0,0.500,99.500,0.0,0.0,0.0,695881728.0,3813376.0,43188224.0,3400441856.0,163.0,749.0,0.0,0.0,05-09 11:09:26,
0.0,2.0,java / 0:4096,0.500,0.0,98.500,1.0,0.0,0.0,695840768.0,3821568.0,43188224.0,3400474624.0,163.0,1123.0,0.0,12288.0,05-09 11:09:27,
0.0,0.0,java / 0:4096,0.498,0.498,99.005,0.0,0.0,0.0,695840768.0,3821568.0,43188224.0,3400474624.0,272.0,1242.0,0.0,0.0,05-09 11:09:28,
0.0,0.0,java / 0:4096,0.0,0.0,100.0,0.0,0.0,0.0,695836672.0,3821568.0,43192320.0,3400474624.0,205.0,807.0,0.0,0.0,05-09 11:09:29,
0.0,0.0,java / 0:4096,0.498,0.498,99.005,0.0,0.0,0.0,695836672.0,3821568.0,43192320.0,3400474624.0,163.0,765.0,0.0,0.0,05-09 11:09:30,
0.0,0.0,java / 0:4096,0.498,0.498,99.005,0.0,0.0,0.0,695836672.0,3821568.0,43192320.0,3400474624.0,272.0,1242.0,0.0,0.0,05-09 11:09:31,
2.0,0.0,java / 16384:12288,2.488,0.0,97.512,0.0,0.0,0.0,695836672.0,3842048.0,43171840.0,3400474624.0,642.0,2157.0,20480.0,0.0,05-09 11:09:32,
45.0,2.0,java / 274432:27951104,4.0,4.0,91.0,0.500,0.0,0.500,696598528.0,4001792.0,71294976.0,3371429888.0,28021166.0,51976.0,270336.0,20480.0,05-09 11:09:33,
1.0,6.0,java / 274432:27951104,0.503,0.0,99.497,0.0,0.0,0.0,696610816.0,4005888.0,71262208.0,3371446272.0,272.0,1282.0,4096.0,36864.0,05-09 11:09:34,
0.0,0.0,java / 274432:27951104,0.0,0.0,100.0,0.0,0.0,0.0,696610816.0,4005888.0,71262208.0,3371446272.0,163.0,691.0,0.0,0.0,05-09 11:09:35,
0.0,0.0,java / 274432:27951104,1.500,1.0,97.500,0.0,0.0,0.0,696233984.0,4005888.0,71262208.0,3371823104.0,32067.0,28005405.0,0.0,0.0,05-09 11:09:36,
0.0,0.0,java / 274432:27951104,0.500,0.500,99.0,0.0,0.0,0.0,696233984.0,4005888.0,71262208.0,3371823104.0,272.0,1242.0,0.0,0.0,05-09 11:09:37,
0.0,3.0,java / 274432:27951104,0.0,0.0,98.995,1.005,0.0,0.0,696225792.0,4014080.0,71262208.0,3371823104.0,163.0,765.0,0.0,53248.0,05-09 11:09:38,
0.0,0.0,java / 274432:27951104,0.500,0.0,99.500,0.0,0.0,0.0,696225792.0,4014080.0,71262208.0,3371823104.0,163.0,683.0,0.0,0.0,05-09 11:09:39,
0.0,0.0,java / 274432:27951104,0.503,0.0,99.497,0.0,0.0,0.0,696225792.0,4014080.0,71262208.0,3371823104.0,338.0,1308.0,0.0,0.0,05-09 11:09:40,
0.0,0.0,java / 274432:27951104,0.500,0.0,99.500,0.0,0.0,0.0,696143872.0,4014080.0,71262208.0,3371905024.0,229.0,749.0,0.0,0.0,05-09 11:09:41,
0.0,0.0,java / 274432:27951104,0.0,0.500,99.500,0.0,0.0,0.0,696143872.0,4014080.0,71262208.0,3371905024.0,163.0,683.0,0.0,0.0,05-09 11:09:42,
0.0,2.0,java / 274432:27951104,0.500,0.500,98.0,1.0,0.0,0.0,696135680.0,4022272.0,71262208.0,3371905024.0,272.0,1324.0,0.0,12288.0,05-09 11:09:43,
0.0,5.0,java / 0:12288,0.0,0.0,100.0,0.0,0.0,0.0,696135680.0,4022272.0,71262208.0,3371905024.0,163.0,683.0,0.0,40960.0,05-09 11:09:44,
0.0,0.0,java / 0:12288,0.990,0.0,99.010,0.0,0.0,0.0,696135680.0,4022272.0,71262208.0,3371905024.0,163.0,707.0,0.0,0.0,05-09 11:09:45,
0.0,0.0,java / 0:4096,0.0,1.0,99.0,0.0,0.0,0.0,696135680.0,4022272.0,71262208.0,3371905024.0,272.0,1242.0,0.0,0.0,05-09 11:09:46,
133.0,0.0,java / 1126400:143855616,25.126,20.101,51.256,1.005,0.0,2.513,700547072.0,4435968.0,215937024.0,3222405120.0,135732624.0,27771751.0,1126400.0,106496.0,05-09 11:09:47,
214.0,194.0,java / 122880:181768192,18.593,23.618,35.678,21.608,0.0,0.503,705458176.0,4710400.0,239984640.0,3193171968.0,81818.0,28397430.0,5742592.0,62210048.0,05-09 11:09:48,
421.0,0.0,java / 8544256:0,12.755,2.551,47.959,36.735,0.0,0.0,724971520.0,4722688.0,248467456.0,3165163520.0,272.0,1552.0,8531968.0,0.0,05-09 11:09:49,
408.0,0.0,java / 10797056:0,23.737,3.030,40.909,32.323,0.0,0.0,753049600.0,4722688.0,259244032.0,3126308864.0,259.0,1597.0,10797056.0,0.0,05-09 11:09:50,
367.0,0.0,java / 12455936:0,2.525,1.515,49.495,46.465,0.0,0.0,755302400.0,4722688.0,271720448.0,3111579648.0,163.0,845.0,12468224.0,0.0,05-09 11:09:51,
378.0,4.0,java / 5885952:4096,14.573,2.513,45.226,37.688,0.0,0.0,763465728.0,4751360.0,277856256.0,3097251840.0,934.0,2060.0,6209536.0,274432.0,05-09 11:09:52,
320.0,4.0,java / 2736128:0,29.444,2.222,28.333,40.0,0.0,0.0,772907008.0,5033984.0,280436736.0,3084947456.0,163.0,911.0,2723840.0,1499136.0,05-09 11:09:53,
174.0,194.0,java / 2039808:0,39.506,3.704,16.667,39.506,0.0,0.617,804208640.0,5033984.0,282349568.0,3051732992.0,349.0,673.0,2056192.0,132657152.0,05-09 11:09:54,
187.0,0.0,java / 2797568:0,72.727,5.556,13.636,8.081,0.0,0.0,872079360.0,5033984.0,285286400.0,2980925440.0,4325.0,6573.0,2797568.0,0.0,05-09 11:09:55,
1.0,0.0,java / 4096:0,14.0,0.0,86.0,0.0,0.0,0.0,873627648.0,5033984.0,285278208.0,2979385344.0,749.0,2881.0,4096.0,0.0,05-09 11:09:56,
173.0,3.0,java / 2232320:65536,46.701,4.061,44.162,5.076,0.0,0.0,921546752.0,5046272.0,287531008.0,2929201152.0,53189.0,4615.0,2232320.0,188416.0,05-09 11:09:57,
393.0,0.0,java / 4210688:0,35.500,3.500,30.500,30.500,0.0,0.0,955936768.0,5046272.0,291741696.0,2890600448.0,338.0,1604.0,4210688.0,0.0,05-09 11:09:58,
122.0,0.0,java / 970752:0,39.698,4.020,53.266,2.513,0.0,0.503,964919296.0,5193728.0,292618240.0,2880593920.0,154931.0,68827.0,970752.0,0.0,05-09 11:09:59,
0.0,0.0,java / 0:8192,47.739,4.020,47.739,0.0,0.0,0.503,1007218688.0,5193728.0,292630528.0,2838282240.0,281533.0,171287.0,0.0,0.0,05-09 11:10:00,
0.0,0.0,java / 0:8192,1.500,0.0,98.500,0.0,0.0,0.0,1007919104.0,5193728.0,292630528.0,2837581824.0,1608.0,2920.0,0.0,0.0,05-09 11:10:01,
0.0,2.0,java / 0:8192,0.0,0.0,98.995,1.005,0.0,0.0,1007919104.0,5201920.0,292622336.0,2837581824.0,295.0,931.0,0.0,69632.0,05-09 11:10:02,
0.0,0.0,java / 0:8192,0.995,0.995,98.010,0.0,0.0,0.0,1007910912.0,5201920.0,292630528.0,2837581824.0,163.0,2141.0,0.0,0.0,05-09 11:10:03,
0.0,0.0,java / 0:4096,27.638,1.005,71.357,0.0,0.0,0.0,1016635392.0,5210112.0,292634624.0,2828845056.0,194750.0,92030.0,0.0,0.0,05-09 11:10:04,
0.0,0.0,java / 0:4096,0.500,0.500,99.0,0.0,0.0,0.0,1016664064.0,5210112.0,292634624.0,2828816384.0,163.0,889.0,0.0,0.0,05-09 11:10:05,
