"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster7-worker7-2",,,,"User:","ubuntu"
"Cmdline:","dstat --top-io --top-bio --top-cpu --top-mem --net --disk --output /home/ubuntu/Cloud/OpenStack/resourceUsage/RFBot-core2.csv -t 1",,,,"Date:","05 Sep 2019 06:42:30 UTC"

"most expensive","most expensive","most expensive","most expensive","net/total",,"dsk/total",,"system"
"i/o process","block i/o process","cpu process","memory process","recv","send","read","writ","time"
java / 393237:393389,java / 50308:57696,java / 0%,java / 250961920%,0.0,0.0,199597.385,105762.900,05-09 06:42:30,
java / 43:245,java / 50308:57696,java / 0%,java / 250961920%,217.0,1181.0,0.0,0.0,05-09 06:42:31,
java / 3775:245,java / 50308:57696,iscsid / 0%,java / 250961920%,404.0,1300.0,0.0,4096.0,05-09 06:42:32,
java / 43:245,java / 50308:57696,java / 0%,java / 250961920%,163.0,1943.0,0.0,32768.0,05-09 06:42:33,
java / 43:245,java / 50308:57696,java / 0%,java / 250961920%,163.0,675.0,0.0,0.0,05-09 06:42:34,
java / 3775:245,java / 50308:57696,java / 0%,java / 250961920%,314.0,1268.0,0.0,0.0,05-09 06:42:35,
java / 43:245,java / 50308:57696,java / 0%,java / 250961920%,163.0,675.0,0.0,0.0,05-09 06:42:36,
java / 43:245,java / 50308:57696,java / 0%,java / 250961920%,163.0,667.0,0.0,0.0,05-09 06:42:37,
java / 3775:245,java / 50308:57696,java / 0%,java / 250961920%,272.0,1226.0,0.0,0.0,05-09 06:42:38,
java / 43:245,java / 50308:57696,java / 0%,java / 250961920%,163.0,667.0,0.0,12288.0,05-09 06:42:39,
java / 43:245,java / 50308:57696,java / 0%,java / 250961920%,163.0,667.0,0.0,0.0,05-09 06:42:40,
java / 3775:245,java / 50308:57696,java / 0%,java / 250961920%,272.0,1226.0,0.0,0.0,05-09 06:42:41,
java / 43:245,java / 151552:12288,java / 0%,java / 250961920%,163.0,765.0,151552.0,40960.0,05-09 06:42:42,
java / 43:245,java / 151552:12288,java / 0%,java / 250961920%,163.0,699.0,0.0,0.0,05-09 06:42:43,
java / 3775:245,java / 0:8192,java / 0%,java / 250961920%,272.0,1234.0,0.0,0.0,05-09 06:42:44,
java / 43:245,java / 0:8192,java / 0%,java / 250961920%,163.0,691.0,0.0,57344.0,05-09 06:42:45,
java / 43:245,java / 0:8192,java / 0%,java / 250961920%,163.0,765.0,0.0,0.0,05-09 06:42:46,
java / 3775:245,java / 0:8192,java / 0%,java / 250961920%,404.0,1292.0,0.0,0.0,05-09 06:42:47,
java / 43:245,java / 0:8192,java / 0%,java / 250961920%,163.0,1935.0,0.0,0.0,05-09 06:42:48,
java / 43:245,java / 0:8192,java / 0%,java / 250961920%,163.0,667.0,0.0,0.0,05-09 06:42:49,
java / 3775:245,java / 0:8192,java / 0%,java / 250961920%,338.0,1226.0,0.0,0.0,05-09 06:42:50,
java / 43:245,java / 0:8192,java / 0%,java / 250961920%,163.0,667.0,0.0,12288.0,05-09 06:42:51,
java / 43:245,java / 0:8192,java / 0%,java / 250961920%,163.0,667.0,0.0,49152.0,05-09 06:42:52,
java / 3775:245,java / 0:8192,java / 0%,java / 250961920%,338.0,1390.0,0.0,0.0,05-09 06:42:53,
java / 43:245,java / 0:8192,java / 0%,java / 250961920%,217.0,1395.0,0.0,0.0,05-09 06:42:54,
java / 43:245,java / 0:8192,java / 0%,java / 250961920%,163.0,757.0,0.0,0.0,05-09 06:42:55,
java / 3775:245,java / 0:8192,java / 0%,java / 250961920%,272.0,1324.0,0.0,0.0,05-09 06:42:56,
java / 43:245,java / 0:8192,java / 0%,java / 250961920%,163.0,765.0,0.0,12288.0,05-09 06:42:57,
java / 43:245,java / 0:8192,java / 0%,java / 250961920%,163.0,757.0,0.0,0.0,05-09 06:42:58,
java / 3775:245,java / 0:8192,java / 0%,java / 250961920%,272.0,1324.0,0.0,0.0,05-09 06:42:59,
java / 43:245,java / 0:8192,java / 0%,java / 250961920%,163.0,757.0,0.0,0.0,05-09 06:43:00,
java / 43:245,java / 0:8192,java / 0%,java / 250961920%,163.0,757.0,0.0,0.0,05-09 06:43:01,
java / 3775:245,java / 0:8192,java / 0%,java / 250961920%,404.0,1382.0,4096.0,4096.0,05-09 06:43:02,
java / 43:245,java / 0:8192,java / 0%,java / 250961920%,163.0,2025.0,0.0,24576.0,05-09 06:43:03,
java / 43:245,java / 0:8192,java / 0%,java / 250961920%,163.0,765.0,0.0,0.0,05-09 06:43:04,
java / 3775:245,java / 0:8192,java / 0%,java / 250961920%,272.0,1316.0,0.0,0.0,05-09 06:43:05,
java / 43:245,java / 0:8192,java / 0%,java / 250961920%,163.0,765.0,0.0,0.0,05-09 06:43:06,
java / 43:245,java / 0:8192,java / 0%,java / 250961920%,163.0,757.0,0.0,0.0,05-09 06:43:07,
java / 3775:245,java / 0:8192,java / 0%,java / 250961920%,272.0,1324.0,0.0,0.0,05-09 06:43:08,
java / 43:245,java / 0:8192,java / 0%,java / 250961920%,163.0,765.0,0.0,12288.0,05-09 06:43:09,
java / 43:245,java / 0:8192,java / 0%,java / 250961920%,205.0,807.0,0.0,0.0,05-09 06:43:10,
java / 3775:465,java / 4096:4096,java / 0%,java / 250961920%,272.0,1316.0,4096.0,0.0,05-09 06:43:11,
java / 43:245,java / 0:12288,java / 0%,java / 250961920%,163.0,789.0,0.0,36864.0,05-09 06:43:12,
java / 43:245,java / 0:12288,java / 0%,java / 250961920%,163.0,781.0,0.0,0.0,05-09 06:43:13,
java / 3775:245,java / 0:8192,java / 0%,java / 250961920%,272.0,1324.0,0.0,0.0,05-09 06:43:14,
java / 43:245,java / 0:8192,java / 0%,java / 250961920%,163.0,789.0,0.0,24576.0,05-09 06:43:15,
java / 43:245,java / 0:8192,java / 0%,java / 250961920%,163.0,823.0,0.0,0.0,05-09 06:43:16,
java / 3775:245,java / 0:8192,java / 0%,java / 250961920%,458.0,3288.0,0.0,0.0,05-09 06:43:17,
java / 43:245,java / 0:8192,java / 0%,java / 250961920%,163.0,757.0,0.0,0.0,05-09 06:43:18,
java / 43:245,java / 0:8192,java / 0%,java / 250961920%,163.0,757.0,0.0,0.0,05-09 06:43:19,
java / 3775:245,java / 0:8192,java / 0%,java / 250961920%,272.0,1316.0,0.0,0.0,05-09 06:43:20,
java / 43:245,java / 0:8192,java / 0%,java / 250961920%,163.0,765.0,0.0,12288.0,05-09 06:43:21,
java / 43:245,java / 0:8192,java / 0%,java / 250961920%,163.0,757.0,0.0,0.0,05-09 06:43:22,
java / 3775:245,java / 0:8192,java / 0%,java / 250961920%,272.0,1316.0,0.0,0.0,05-09 06:43:23,
java / 43:245,java / 0:8192,java / 0%,java / 250961920%,163.0,765.0,0.0,0.0,05-09 06:43:24,
java / 117205775:116974880,java / 794624:116998144,java / 33%,java / 250961920%,124669707.0,122231.0,794624.0,0.0,05-09 06:43:25,
java / 208305079:208195602,java / 155648:208596992,java / 47%,java / 251179008%,39067114.0,38229.0,638976.0,0.0,05-09 06:43:26,
java / 14702480:8,java / 13152256:32768,java / 17%,java / 251187200%,163.0,837.0,13017088.0,385024.0,05-09 06:43:27,
java / 2005226:0,java / 5005312:0,java / 16%,java / 251187200%,163.0,837.0,4997120.0,0.0,05-09 06:43:28,
java / 11819947:0,java / 5718016:0,java / 9%,java / 251187200%,272.0,1438.0,5890048.0,0.0,05-09 06:43:29,
java / 350529:0,java / 14782464:0,java / 4%,java / 251187200%,229.0,945.0,14729216.0,0.0,05-09 06:43:30,
java / 1979486:353,java / 4587520:4096,java / 27%,java / 251187200%,229.0,945.0,4603904.0,0.0,05-09 06:43:31,
java / 1600926:6,java / 2961408:0,java / 31%,java / 251187200%,404.0,2781.0,2818048.0,86016.0,05-09 06:43:32,
java / 2924361:1168,java / 2600960:0,java / 28%,java / 251187200%,743.0,1611.0,2613248.0,0.0,05-09 06:43:33,
java / 3097746:5977,java / 1675264:0,java / 66%,java / 251187200%,4347.0,7030.0,1679360.0,0.0,05-09 06:43:34,
java / 3775:345,java / 4096:0,java / 12%,java / 251187200%,272.0,1448.0,0.0,0.0,05-09 06:43:35,
java / 1006231:64378,java / 581632:65536,java / 19%,java / 251187200%,61907.0,6498.0,581632.0,61440.0,05-09 06:43:36,
java / 2515931:0,java / 5218304:0,java / 59%,java / 290406400%,163.0,889.0,5242880.0,73728.0,05-09 06:43:37,
java / 1436851:88464,java / 1458176:4096,java / 52%,java / 301858816%,143596.0,93814.0,1732608.0,0.0,05-09 06:43:38,
java / 682790:190670,java / 0:8192,java / 53%,java / 345620480%,378785.0,199600.0,0.0,0.0,05-09 06:43:39,
java / 35022:696,java / 0:8192,java / 2%,java / 345694208%,1553.0,2991.0,0.0,0.0,05-09 06:43:40,
java / 3775:345,java / 0:8192,java / 0%,java / 345694208%,272.0,1424.0,0.0,0.0,05-09 06:43:41,
java / 43:345,java / 0:12288,java / 1%,java / 345694208%,163.0,857.0,16384.0,99090432.0,05-09 06:43:42,
java / 529536:98597,java / 0:4096,java / 23%,java / 348610560%,215068.0,99488.0,0.0,0.0,05-09 06:43:43,
java / 3775:345,java / 0:8192,java / 0%,java / 348610560%,272.0,5114.0,0.0,0.0,05-09 06:43:44,
java / 43:345,java / 0:8192,java / 0%,java / 348610560%,163.0,881.0,0.0,0.0,05-09 06:43:45,
java / 19986:345,java / 0:8192,java / 1%,java / 348688384%,4203.0,4127.0,0.0,0.0,05-09 06:43:46,
java / 3775:345,java / 0:8192,kworker/u4:2 / 0%,java / 348688384%,404.0,2926.0,4096.0,63610880.0,05-09 06:43:47,
java / 1145809:5081,java / 311296:16384,java / 36%,java / 396603392%,48148.0,7164.0,311296.0,0.0,05-09 06:43:48,
java / 2778734:671,java / 1421312:0,java / 77%,java / 425984000%,719.0,1789.0,1421312.0,0.0,05-09 06:43:49,
java / 1609113:6588,java / 102400:0,java / 82%,java / 437903360%,572.0,7608.0,102400.0,0.0,05-09 06:43:50,
java / 15130870:15133205,java / 16097280:0,java / 90%,java / 509571072%,44975.0,3418.0,16699392.0,0.0,05-09 06:43:51,
java / 5283840:5286320,java / 5242880:0,java / 96%,java / 575709184%,163.0,799.0,5242880.0,0.0,05-09 06:43:52,
java / 12288043:12291121,java / 12582912:0,java / 97%,java / 721674240%,272.0,1448.0,12845056.0,122880.0,05-09 06:43:53,
java / 13602816:13612274,java / 13369344:0,java / 96%,java / 925372416%,163.0,889.0,13635584.0,0.0,05-09 06:43:54,
java / 24240128:24250993,java / 24379392:0,java / 94%,java / 1025785856%,163.0,889.0,24117248.0,0.0,05-09 06:43:55,
java / 26157099:26167711,java / 26345472:0,java / 95%,java / 1051668480%,314.0,1490.0,26083328.0,0.0,05-09 06:43:56,
java / 22192128:22202544,java / 22151168:0,java / 95%,java / 1074872320%,163.0,799.0,22413312.0,0.0,05-09 06:43:57,
java / 24305664:24317072,java / 24117248:0,java / 96%,java / 1090465792%,163.0,889.0,24117248.0,20480.0,05-09 06:43:58,
java / 21332011:21343944,java / 21364736:0,java / 94%,java / 1121435648%,272.0,1358.0,21364736.0,0.0,05-09 06:43:59,
java / 23777280:23788440,java / 23724032:0,java / 95%,java / 1137385472%,463.0,7049.0,23724032.0,0.0,05-09 06:44:00,
java / 24834048:24845704,java / 24903680:0,java / 93%,java / 1164894208%,229.0,1021.0,24903680.0,0.0,05-09 06:44:01,
java / 26816555:26828501,java / 26517504:0,java / 96%,java / 1195122688%,404.0,2758.0,26517504.0,0.0,05-09 06:44:02,
java / 25231484:25242920,java / 25190400:4096,java / 93%,java / 1215553536%,1195.0,135034.0,25452544.0,12288.0,05-09 06:44:03,
java / 20699477:1194,java / 4849664:0,java / 96%,java / 1236254720%,268055.0,4170.0,4358144.0,0.0,05-09 06:44:04,
java / 24445217:24450771,java / 25665536:0,java / 95%,java / 1248661504%,23440.0,15031.0,25260032.0,0.0,05-09 06:44:05,
java / 25030656:25043941,java / 24903680:0,java / 93%,java / 1276252160%,163.0,889.0,25952256.0,0.0,05-09 06:44:06,
java / 25362432:25374336,java / 25427968:0,java / 95%,java / 1300439040%,163.0,889.0,25427968.0,0.0,05-09 06:44:07,
java / 25428011:25440842,java / 25296896:0,java / 96%,java / 1321119744%,272.0,1448.0,25321472.0,73728.0,05-09 06:44:08,
java / 21401600:21409596,java / 21364736:0,java / 94%,java / 1342255104%,163.0,889.0,21106688.0,0.0,05-09 06:44:09,
java / 24104960:24118835,java / 24117248:0,java / 95%,java / 1366310912%,463.0,7139.0,24117248.0,0.0,05-09 06:44:10,
java / 24571947:24581815,java / 24510464:0,java / 96%,java / 1389289472%,272.0,1358.0,24510464.0,0.0,05-09 06:44:11,
java / 22650880:22665097,java / 22806528:8192,java / 94%,java / 1416421376%,163.0,889.0,22806528.0,40960.0,05-09 06:44:12,
java / 26685440:26695916,java / 26607616:0,java / 95%,java / 1441112064%,163.0,807.0,26607616.0,0.0,05-09 06:44:13,
java / 27938859:27951844,java / 27828224:8192,java / 95%,java / 1461694464%,272.0,1358.0,27828224.0,20480.0,05-09 06:44:14,
java / 19152903:19162398,java / 18743296:0,java / 95%,java / 1489076224%,229.0,1021.0,18481152.0,0.0,05-09 06:44:15,
java / 19878021:19889824,java / 19910656:0,java / 93%,java / 1511186432%,145786.0,9415.0,20172800.0,0.0,05-09 06:44:16,
java / 27545769:27555927,java / 28299264:0,java / 94%,java / 1530298368%,145839.0,11132.0,28299264.0,20480.0,05-09 06:44:17,
java / 25493504:25506494,java / 25296896:0,java / 95%,java / 1551925248%,163.0,889.0,25296896.0,0.0,05-09 06:44:18,
java / 23912448:23920598,java / 24117248:0,java / 93%,java / 1573732352%,205.0,931.0,24117248.0,0.0,05-09 06:44:19,
java / 26218539:26233790,java / 26083328:0,java / 95%,java / 1594748928%,572.0,7698.0,26083328.0,81920.0,05-09 06:44:20,
java / 26882048:26894153,java / 26738688:0,java / 95%,java / 1616105472%,163.0,889.0,27000832.0,0.0,05-09 06:44:21,
java / 26554368:26563758,java / 26607616:0,java / 96%,java / 1640431616%,163.0,889.0,26345472.0,208896.0,05-09 06:44:22,
java / 16379947:16388019,java / 16384000:0,java / 92%,java / 1659920384%,272.0,1448.0,16384000.0,0.0,05-09 06:44:23,
java / 24432640:24449230,java / 24379392:0,java / 95%,java / 1683861504%,163.0,889.0,24117248.0,0.0,05-09 06:44:24,
java / 25960448:25969047,java / 25972736:0,java / 96%,java / 1704673280%,163.0,955.0,25972736.0,28672.0,05-09 06:44:25,
java / 21991598:22004964,java / 21532672:0,java / 95%,java / 1725759488%,1424.0,135659.0,21794816.0,0.0,05-09 06:44:26,
java / 24641916:24648996,java / 25448448:0,java / 94%,java / 1751355392%,13951.0,248780.0,25186304.0,0.0,05-09 06:44:27,
java / 25497726:25507051,java / 26071040:0,java / 93%,java / 1775300608%,145534.0,9196.0,26857472.0,0.0,05-09 06:44:28,
java / 21729323:21740418,java / 21757952:0,java / 96%,java / 1799090176%,272.0,1448.0,21495808.0,0.0,05-09 06:44:29,
java / 23117824:23127650,java / 22937600:0,java / 95%,java / 1815506944%,463.0,7139.0,22937600.0,0.0,05-09 06:44:30,
java / 24305664:24317072,java / 24379392:0,java / 95%,java / 1839566848%,229.0,1211.0,23855104.0,77824.0,05-09 06:44:31,
java / 22851627:22863761,java / 22937600:0,java / 92%,java / 1861681152%,404.0,2782.0,23199744.0,0.0,05-09 06:44:32,
java / 26947584:26960232,java / 27000832:0,java / 96%,java / 1885528064%,163.0,889.0,27262976.0,0.0,05-09 06:44:33,
java / 27344896:27356706,java / 27131904:0,java / 95%,java / 1910083584%,163.0,889.0,26869760.0,0.0,05-09 06:44:34,
java / 27344939:27357133,java / 27525120:0,java / 96%,java / 1937117184%,272.0,1448.0,27525120.0,0.0,05-09 06:44:35,
java / 20842721:91123737,java / 126976:91123712,java / 96%,java / 1955770368%,163.0,889.0,20594688.0,0.0,05-09 06:44:36,
java / 20275207:20285741,java / 19681280:8192,java / 92%,java / 1981267968%,163.0,889.0,19943424.0,33787904.0,05-09 06:44:37,
java / 27148457:27159453,java / 27774976:8192,java / 93%,java / 2010206208%,114182.0,9413.0,27774976.0,0.0,05-09 06:44:38,
java / 97252840:10126943,java / 15859712:0,java / 94%,java / 2041962496%,133746.0,2173.0,15863808.0,0.0,05-09 06:44:39,
java / 74572288:13043,java / 30785536:0,java / 93%,java / 2061164544%,11789.0,13712.0,30789632.0,0.0,05-09 06:44:40,
java / 25030699:25044368,java / 25034752:0,java / 95%,java / 2082250752%,272.0,1448.0,25034752.0,0.0,05-09 06:44:41,
java / 20279296:20286253,java / 20316160:0,java / 92%,java / 2088398848%,205.0,931.0,20422656.0,90988544.0,05-09 06:44:42,
java / 25559040:25572573,java / 25427968:0,java / 94%,java / 2088398848%,163.0,799.0,25165824.0,0.0,05-09 06:44:43,
java / 25374342:51091518,java / 0:51093504,java / 95%,java / 2088398848%,272.0,1448.0,25821184.0,0.0,05-09 06:44:44,
java / 22334696:100371756,java / 0:100380672,java / 94%,java / 2088431616%,163.0,799.0,20971520.0,67252224.0,05-09 06:44:45,
java / 26025984:26035126,java / 25821184:0,java / 94%,java / 2089172992%,163.0,799.0,26607616.0,0.0,05-09 06:44:46,
java / 22070386:21147464,java / 21516288:8192,java / 140%,java / 2089873408%,404.0,2782.0,19947520.0,98947072.0,05-09 06:44:47,
java / 11628544:11629904,java / 11403264:0,java / 43%,java / 2105798656%,163.0,955.0,12713984.0,28463104.0,05-09 06:44:48,
java / 22070386:17724169,java / 0:17719296,java / 97%,java / 2131480576%,217.0,1249.0,16404480.0,0.0,05-09 06:44:49,
java / 135673927:12806034,java / 15454208:0,java / 91%,java / 2254262272%,146393.0,16115.0,15716352.0,0.0,05-09 06:44:50,
java / 21794823:21805558,java / 21233664:0,java / 95%,java / 2249637888%,163.0,799.0,21495808.0,0.0,05-09 06:44:51,
java / 143367365:7842466,java / 17813504:0,java / 93%,java / 2249392128%,145335.0,8985.0,17936384.0,90112.0,05-09 06:44:52,
java / 25432107:25440842,java / 25427968:0,java / 95%,java / 2247278592%,272.0,1448.0,25427968.0,0.0,05-09 06:44:53,
java / 23113728:23127650,java / 23330816:0,java / 96%,java / 2246225920%,163.0,889.0,23068672.0,0.0,05-09 06:44:54,
java / 24702976:24713546,java / 24641536:0,java / 96%,java / 2246230016%,163.0,889.0,24641536.0,0.0,05-09 06:44:55,
java / 23590203:45965656,java / 0:45965312,java / 95%,java / 2246230016%,272.0,1448.0,23855104.0,0.0,05-09 06:44:56,
java / 23973888:23986677,java / 24117248:12288,java / 86%,java / 2246148096%,163.0,889.0,24125440.0,84385792.0,05-09 06:44:57,
java / 21739991:99047051,java / 0:99057664,java / 97%,java / 2235637760%,163.0,889.0,21364736.0,34934784.0,05-09 06:44:58,
java / 26751019:26762422,java / 26607616:16384,java / 95%,java / 2235637760%,272.0,1448.0,26607616.0,46190592.0,05-09 06:44:59,
java / 33423484:33436531,java / 33951744:0,java / 94%,java / 2235637760%,10849.0,8213196.0,33951744.0,0.0,05-09 06:45:00,
java / 34807939:34823863,java / 34902016:20480,java / 95%,java / 2241253376%,16945.0,13321515.0,34902016.0,55906304.0,05-09 06:45:01,
java / 97732483:15019677,java / 21549056:0,java / 90%,java / 2253639680%,121510.0,14953349.0,21823488.0,86016.0,05-09 06:45:02,
java / 32628859:32643583,java / 33161216:4096,java / 90%,java / 2257567744%,26353.0,13115498.0,33423360.0,0.0,05-09 06:45:03,
java / 90505500:12340551,java / 22061056:0,java / 96%,java / 2257825792%,109244.0,6146477.0,21536768.0,0.0,05-09 06:45:04,
java / 85242975:6988,java / 31703040:0,java / 95%,java / 2246303744%,11331.0,8063.0,31703040.0,0.0,05-09 06:45:05,
java / 23842816:23854519,java / 23683072:0,java / 96%,java / 2246303744%,163.0,889.0,23683072.0,60358656.0,05-09 06:45:06,
java / 24637440:24647467,java / 24248320:0,java / 95%,java / 2245238784%,163.0,889.0,24510464.0,0.0,05-09 06:45:07,
java / 24043563:24053183,java / 24150016:0,java / 97%,java / 2244661248%,338.0,1514.0,24150016.0,94208.0,05-09 06:45:08,
java / 20378823:52970241,java / 0:52977664,java / 95%,java / 2242842624%,10450.0,5492.0,12480512.0,0.0,05-09 06:45:09,
java / 22082168:22093492,java / 22290432:0,java / 97%,java / 2264125440%,1834.0,9602.0,22552576.0,0.0,05-09 06:45:10,
java / 85148971:1942172,java / 25935872:0,java / 94%,java / 2274930688%,11864.0,8514.0,25673728.0,0.0,05-09 06:45:11,
java / 23777280:23788441,java / 23855104:0,java / 97%,java / 2274918400%,217.0,1519.0,24117248.0,0.0,05-09 06:45:12,
java / 23781376:23788440,java / 23740416:0,java / 95%,java / 2283925504%,163.0,889.0,23478272.0,86016.0,05-09 06:45:13,
java / 22995492:48240319,java / 4096:48263168,java / 94%,java / 2289274880%,272.0,1448.0,22298624.0,98435072.0,05-09 06:45:14,
java / 20341519:56544542,java / 0:56557568,java / 93%,java / 2238361600%,429.0,1316.0,13492224.0,0.0,05-09 06:45:15,
java / 82615647:11312833,java / 24625152:8192,java / 94%,java / 2235375616%,11489.0,7505.0,24731648.0,91942912.0,05-09 06:45:16,
java / 82840775:2967217,java / 29474816:8192,java / 92%,java / 2235604992%,12105.0,9781.0,30130176.0,0.0,05-09 06:45:17,
java / 26816512:26828074,java / 26607616:0,java / 97%,java / 2235613184%,163.0,807.0,26476544.0,0.0,05-09 06:45:18,
java / 25825280:25836889,java / 25788416:0,java / 95%,java / 2235617280%,163.0,889.0,25526272.0,139264.0,05-09 06:45:19,
java / 23788800:53610899,java / 4096:53612544,java / 94%,java / 2235617280%,14810.0,9677975.0,31911936.0,0.0,05-09 06:45:20,
java / 78968850:56251701,java / 0:56287232,java / 92%,java / 2235641856%,25748.0,13343618.0,30453760.0,92962816.0,05-09 06:45:21,
java / 41807998:41828564,java / 42172416:4096,java / 95%,java / 2235809792%,13226.0,12491265.0,42696704.0,0.0,05-09 06:45:22,
java / 36528171:36542114,java / 36519936:0,java / 95%,java / 2235809792%,13004.0,12342970.0,36519936.0,0.0,05-09 06:45:23,
java / 37646336:37665030,java / 37572608:0,java / 94%,java / 2235817984%,13189.0,12984889.0,37048320.0,0.0,05-09 06:45:24,
java / 16916224:53596653,java / 0:53620736,java / 79%,java / 2235965440%,2367.0,1999000.0,18354176.0,86040576.0,05-09 06:45:25,
java / 27188084:21442217,java / 0:21450752,java / 95%,java / 2236100608%,1298.0,1752.0,21069824.0,0.0,05-09 06:45:26,
java / 129689648:15050931,java / 27115520:0,java / 95%,java / 2244726784%,11973.0,8366.0,27115520.0,0.0,05-09 06:45:27,
java / 25030656:25043941,java / 24846336:0,java / 96%,java / 2235813888%,205.0,931.0,25108480.0,0.0,05-09 06:45:28,
java / 21532715:21542181,java / 21565440:0,java / 95%,java / 2235813888%,338.0,1514.0,21565440.0,41738240.0,05-09 06:45:29,
java / 22054535:22070002,java / 21446656:0,java / 94%,java / 2235801600%,529.0,7205.0,21184512.0,102400.0,05-09 06:45:30,
java / 126724030:54774111,java / 4096:54808576,java / 96%,java / 2235559936%,1638383.0,11620.0,9383936.0,67227648.0,05-09 06:45:31,
java / 24381810:13399524,java / 0:13398016,java / 95%,java / 2245013504%,17347379.0,28588.0,0.0,0.0,05-09 06:45:32,
java / 27158469:10720860,java / 0:10719232,java / 98%,java / 2286108672%,27601870.0,36397.0,0.0,0.0,05-09 06:45:33,
java / 23590203:10720860,java / 200704:10723328,java / 95%,java / 2287497216%,24544102.0,30703.0,77824.0,0.0,05-09 06:45:34,
java / 23657028:51999186,java / 565248:52006912,java / 95%,java / 2287529984%,23265202.0,28810.0,786432.0,100286464.0,05-09 06:45:35,
java / 25969047:28411878,java / 0:28409856,java / 98%,java / 2289684480%,26479341.0,31537.0,0.0,0.0,05-09 06:45:36,
java / 121804678:15103701,java / 4096:15114240,java / 67%,java / 2298576896%,13706446.0,20831.0,4096.0,0.0,05-09 06:45:37,
java / 14405222:13399027,java / 0:13414400,java / 50%,java / 2292826112%,14551038.0,18062.0,0.0,54161408.0,05-09 06:45:38,
java / 19504393:10723385,java / 0:10727424,java / 73%,java / 2285998080%,20197981.0,29517.0,0.0,0.0,05-09 06:45:39,
java / 26630197:13413273,java / 0:13406208,java / 97%,java / 2286006272%,27319217.0,42653.0,0.0,110592.0,05-09 06:45:40,
java / 23127650:10720860,java / 0:10723328,java / 93%,java / 2286661632%,23297054.0,27710.0,0.0,0.0,05-09 06:45:41,
java / 145322799:6045614,java / 0:6053888,java / 93%,java / 2298638336%,21430502.0,33291.0,0.0,0.0,05-09 06:45:42,
java / 23986677:50337275,java / 4096:50339840,java / 97%,java / 2295459840%,23727537.0,27223.0,8192.0,90415104.0,05-09 06:45:43,
