"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster7-worker7-2",,,,"User:","ubuntu"
"Cmdline:","dstat --top-io --top-bio --top-cpu --top-mem --net --disk --output /home/ubuntu/Cloud/OpenStack/resourceUsage/RFBot-parallel3.csv -t 1",,,,"Date:","05 Sep 2019 07:51:54 UTC"

"most expensive","most expensive","most expensive","most expensive","net/total",,"dsk/total",,"system"
"i/o process","block i/o process","cpu process","memory process","recv","send","read","writ","time"
java / 445578:445755,java / 122132:90394,java / 0%,java / 240734208%,0.0,0.0,325509.132,137833.287,05-09 07:51:54,
java / 43:245,java / 122132:90394,kworker/0:1 / 0%,java / 240734208%,163.0,1549.0,0.0,0.0,05-09 07:51:55,
java / 43:427,java / 122132:90394,kworker/0:1 / 0%,java / 240734208%,272.0,1316.0,0.0,0.0,05-09 07:51:56,
java / 3776:245,java / 0:12288,java / 0%,java / 240734208%,163.0,757.0,4096.0,81920.0,05-09 07:51:57,
java / 43:245,java / 0:12288,kworker/0:1 / 0%,java / 240734208%,163.0,781.0,0.0,0.0,05-09 07:51:58,
java / 43:427,java / 0:8192,kworker/0:1 / 0%,java / 240734208%,314.0,1358.0,0.0,0.0,05-09 07:51:59,
java / 3776:245,java / 0:8192,java / 0%,java / 240734208%,163.0,781.0,0.0,0.0,05-09 07:52:00,
java / 43:245,java / 0:8192,java / 0%,java / 240734208%,163.0,765.0,0.0,0.0,05-09 07:52:01,
java / 2:1204,java / 0:16384,java / 0%,java / 240734208%,404.0,2658.0,0.0,81920.0,05-09 07:52:02,
java / 3776:245,java / 0:16384,java / 0%,java / 240734208%,163.0,781.0,0.0,0.0,05-09 07:52:03,
java / 43:245,java / 0:16384,khungtaskd / 0%,java / 240734208%,163.0,765.0,0.0,0.0,05-09 07:52:04,
java / 43:427,java / 0:16384,kworker/0:1 / 0%,java / 240734208%,272.0,1324.0,0.0,0.0,05-09 07:52:05,
java / 3776:245,java / 0:16384,kworker/0:1 / 0%,java / 240734208%,163.0,757.0,0.0,0.0,05-09 07:52:06,
java / 43:245,java / 0:12288,kworker/0:1 / 0%,java / 240734208%,163.0,757.0,0.0,61440.0,05-09 07:52:07,
java / 43:427,java / 0:8192,kworker/0:1 / 0%,java / 240734208%,272.0,1340.0,0.0,0.0,05-09 07:52:08,
java / 3776:245,java / 0:8192,kworker/0:1 / 0%,java / 240734208%,163.0,781.0,0.0,0.0,05-09 07:52:09,
java / 43:245,java / 0:8192,java / 0%,java / 240734208%,163.0,757.0,0.0,0.0,05-09 07:52:10,
java / 43:427,java / 0:8192,kworker/0:1 / 0%,java / 240734208%,272.0,1324.0,0.0,0.0,05-09 07:52:11,
java / 3776:245,java / 0:8192,kworker/0:1 / 0%,java / 240734208%,163.0,757.0,0.0,0.0,05-09 07:52:12,
java / 43:245,java / 0:8192,java / 0%,java / 240734208%,163.0,757.0,0.0,20480.0,05-09 07:52:13,
