,0.71370557,,,,,,,62537.33687,1770422359,,,,6297.159151,18957.94695
system,total cpu usage,,,,,,dsk/total,,memory usage,,,,net/total,
date/time,usr,sys,idl,wai,hiq,siq,read,writ,used,buff,cach,free,recv,send
2019/10/10 0:06,42.714,4.271,52.764,0,0,0.251,0,0,1655009280,90677248,2406244352,4237991936,1522,1062
2019/10/10 0:06,26.448,2.519,71.033,0,0,0,0,155648,1714659328,90677248,2406248448,4178337792,14548,550418
2019/10/10 0:06,12.531,0.752,86.717,0,0,0,0,16384,1718657024,90677248,2406264832,4174323712,10538,114467
2019/10/10 0:06,0.503,0,99.497,0,0,0,0,0,1718657024,90677248,2406264832,4174323712,1500,880
2019/10/10 0:06,0.252,0.252,99.496,0,0,0,0,0,1718657024,90677248,2406264832,4174323712,5782,4521
2019/10/10 0:06,0.501,0.251,98.747,0.501,0,0,0,376832,1718640640,90677248,2406264832,4174340096,5653,2443
2019/10/10 0:06,0.75,0,99,0.25,0,0,0,8192,1718648832,90677248,2406264832,4174331904,5052,2821
2019/10/10 0:06,1.005,0.251,98.744,0,0,0,0,0,1718759424,90677248,2406281216,4174204928,9687,16200
2019/10/10 0:06,0.251,0.251,99.499,0,0,0,0,0,1718874112,90677248,2406285312,4174086144,5019,1974
2019/10/10 0:06,0.501,0,99.499,0,0,0,0,40960,1718857728,90677248,2406285312,4174102528,2886,1634
2019/10/10 0:06,0.252,0.252,99.244,0.252,0,0,0,40960,1713143808,90677248,2406285312,4179816448,3429,1760
2019/10/10 0:06,0.501,0,99.499,0,0,0,0,0,1713143808,90677248,2406285312,4179816448,6652,5186
2019/10/10 0:06,0.5,0.5,99,0,0,0,0,0,1713111040,90677248,2406285312,4179849216,4552,18643
2019/10/10 0:06,0.251,0.251,99.497,0,0,0,0,0,1713111040,90677248,2406285312,4179849216,6131,15984
2019/10/10 0:06,0.501,0.251,98.997,0.251,0,0,0,409600,1713106944,90677248,2406289408,4179849216,6314,17226
2019/10/10 0:06,0.503,0.251,99.246,0,0,0,0,0,1713102848,90677248,2406293504,4179849216,8288,19536
2019/10/10 0:06,0.752,0,98.747,0.501,0,0,0,57344,1713209344,90677248,2406297600,4179738624,5572,23345
2019/10/10 0:06,0.251,0.503,99.246,0,0,0,0,0,1713205248,90677248,2406301696,4179738624,6463,3307
