"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","testttt-mse-master-0.novalocal",,,,"User:","cloud-user"
"Cmdline:","dstat --time --cpu --disk --mem --net --output ctu13_iter5_6_1.csv 1 360",,,,"Date:","10 Oct 2019 02:14:21 EDT"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"date/time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
10-10 02:14:21,0.288,0.240,99.351,0.117,0.000,0.004,5080.673,83681.322,1580478464.0,90787840.0,2414477312.0,4304179200.0,0.0,0.0
10-10 02:14:22,10.750,3.500,85.750,0.0,0.0,0.0,0.0,0.0,1617428480.0,90787840.0,2419724288.0,4261982208.0,3309.0,2505.0
10-10 02:14:23,40.102,3.046,56.853,0.0,0.0,0.0,0.0,0.0,1695404032.0,90787840.0,2419785728.0,4183945216.0,2174.0,2046.0
10-10 02:14:24,29.574,2.256,68.170,0.0,0.0,0.0,0.0,172032.0,1744203776.0,90787840.0,2419785728.0,4135145472.0,17626.0,652696.0
10-10 02:14:25,3.258,0.501,95.739,0.501,0.0,0.0,0.0,376832.0,1745666048.0,90787840.0,2419798016.0,4133670912.0,7000.0,13436.0
10-10 02:14:26,0.252,0.0,99.748,0.0,0.0,0.0,0.0,0.0,1745825792.0,90787840.0,2419798016.0,4133511168.0,2104.0,1698.0
10-10 02:14:27,0.499,0.249,99.002,0.0,0.0,0.249,0.0,0.0,1745551360.0,90787840.0,2419802112.0,4133781504.0,4766.0,4802.0
10-10 02:14:28,0.501,0.251,99.248,0.0,0.0,0.0,0.0,24576.0,1745547264.0,90787840.0,2419806208.0,4133781504.0,5978.0,3457.0
10-10 02:14:29,0.752,0.251,98.997,0.0,0.0,0.0,0.0,16384.0,1745559552.0,90787840.0,2419810304.0,4133765120.0,6136.0,3819.0
10-10 02:14:30,0.503,0.251,98.995,0.251,0.0,0.0,0.0,98304.0,1745526784.0,90787840.0,2419826688.0,4133781504.0,4160.0,6679.0
10-10 02:14:31,0.503,0.0,99.497,0.0,0.0,0.0,0.0,0.0,1745514496.0,90787840.0,2419830784.0,4133789696.0,10218.0,13494.0
10-10 02:14:32,0.250,0.500,99.250,0.0,0.0,0.0,0.0,0.0,1745510400.0,90787840.0,2419834880.0,4133789696.0,3538.0,2592.0
10-10 02:14:33,0.251,0.251,99.499,0.0,0.0,0.0,0.0,0.0,1745485824.0,90787840.0,2419834880.0,4133814272.0,2994.0,3014.0
10-10 02:14:34,0.252,0.0,99.748,0.0,0.0,0.0,0.0,8192.0,1745485824.0,90787840.0,2419834880.0,4133814272.0,8974.0,9207.0
10-10 02:14:35,1.0,0.250,98.250,0.500,0.0,0.0,0.0,147456.0,1745469440.0,90787840.0,2419834880.0,4133830656.0,6413.0,6643.0
10-10 02:14:36,0.500,0.500,99.0,0.0,0.0,0.0,0.0,0.0,1745440768.0,90787840.0,2419847168.0,4133847040.0,8621.0,12149.0
10-10 02:14:37,0.500,0.500,99.0,0.0,0.0,0.0,0.0,0.0,1745428480.0,90787840.0,2419859456.0,4133847040.0,7328.0,7044.0
10-10 02:14:38,0.501,0.251,99.248,0.0,0.0,0.0,0.0,0.0,1745420288.0,90787840.0,2419867648.0,4133847040.0,8153.0,13651.0
10-10 02:14:39,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1745387520.0,90787840.0,2419884032.0,4133863424.0,8675.0,8236.0
10-10 02:14:40,0.501,0.251,98.496,0.752,0.0,0.0,0.0,475136.0,1745387520.0,90787840.0,2419884032.0,4133863424.0,7990.0,7310.0
10-10 02:14:41,0.504,0.0,99.496,0.0,0.0,0.0,0.0,0.0,1745379328.0,90787840.0,2419892224.0,4133863424.0,6835.0,8970.0
10-10 02:14:42,0.750,0.250,99.0,0.0,0.0,0.0,0.0,0.0,1745358848.0,90787840.0,2419912704.0,4133863424.0,3863.0,4615.0
10-10 02:14:43,0.750,0.500,98.750,0.0,0.0,0.0,0.0,0.0,1741287424.0,90787840.0,2419920896.0,4137926656.0,5940.0,7327.0
10-10 02:14:44,0.503,0.251,99.246,0.0,0.0,0.0,0.0,0.0,1741316096.0,90787840.0,2419875840.0,4137943040.0,7374.0,8283.0
10-10 02:14:45,1.256,0.251,98.241,0.251,0.0,0.0,0.0,114688.0,1741299712.0,90787840.0,2419892224.0,4137943040.0,9456.0,13046.0
10-10 02:14:46,0.503,0.251,99.246,0.0,0.0,0.0,0.0,0.0,1741291520.0,90787840.0,2419900416.0,4137943040.0,12888.0,14673.0
10-10 02:14:47,0.501,0.251,99.248,0.0,0.0,0.0,0.0,0.0,1741271040.0,90787840.0,2419920896.0,4137943040.0,4778.0,3620.0
10-10 02:14:48,0.752,0.251,98.747,0.251,0.0,0.0,0.0,106496.0,1741258752.0,90787840.0,2419933184.0,4137943040.0,24500.0,17894.0
10-10 02:14:49,0.503,0.251,99.246,0.0,0.0,0.0,0.0,32768.0,1741242368.0,90787840.0,2419949568.0,4137943040.0,7832.0,2834.0
10-10 02:14:50,7.519,1.504,90.727,0.0,0.0,0.251,0.0,229376.0,1768996864.0,90787840.0,2419974144.0,4110163968.0,26876.0,666325.0
10-10 02:14:51,0.500,0.250,98.750,0.500,0.0,0.0,0.0,98304.0,1768972288.0,90787840.0,2419998720.0,4110163968.0,1544.0,2649.0
