"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","testttt-mse-master-0.novalocal",,,,"User:","cloud-user"
"Cmdline:","dstat --time --cpu --disk --mem --net --output cidds_5_2.csv 1 200",,,,"Date:","11 Oct 2019 01:29:57 EDT"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"date/time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
11-10 01:29:57,0.286,0.239,99.355,0.117,0.000,0.004,3847.530,70493.883,1566724096.0,91275264.0,2947063808.0,3784859648.0,0.0,0.0
11-10 01:29:58,11.278,2.256,86.466,0.0,0.0,0.0,0.0,0.0,1603219456.0,91275264.0,2952310784.0,3743117312.0,1624.0,1440.0
11-10 01:29:59,39.950,3.769,56.281,0.0,0.0,0.0,0.0,0.0,1694539776.0,91275264.0,2952253440.0,3651854336.0,3153.0,1508.0
11-10 01:30:00,29.975,2.267,67.758,0.0,0.0,0.0,0.0,163840.0,1730461696.0,91275264.0,2952253440.0,3615932416.0,17520.0,614642.0
11-10 01:30:01,1.759,0.251,97.990,0.0,0.0,0.0,0.0,0.0,1731350528.0,91275264.0,2952269824.0,3615027200.0,5207.0,12361.0
11-10 01:30:02,0.503,0.0,99.497,0.0,0.0,0.0,0.0,49152.0,1731350528.0,91275264.0,2952269824.0,3615027200.0,5140.0,2482.0
11-10 01:30:03,0.501,0.251,98.747,0.501,0.0,0.0,0.0,368640.0,1730715648.0,91275264.0,2952269824.0,3615662080.0,3726.0,3211.0
11-10 01:30:04,0.748,0.249,98.753,0.249,0.0,0.0,0.0,49152.0,1730703360.0,91275264.0,2952273920.0,3615670272.0,6184.0,3203.0
11-10 01:30:05,0.752,0.251,98.997,0.0,0.0,0.0,0.0,0.0,1730838528.0,91275264.0,2952282112.0,3615526912.0,4524.0,2067.0
11-10 01:30:06,0.752,0.251,98.997,0.0,0.0,0.0,0.0,0.0,1730838528.0,91275264.0,2952282112.0,3615526912.0,7274.0,9046.0
11-10 01:30:07,0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,1730838528.0,91275264.0,2952282112.0,3615526912.0,2898.0,1633.0
11-10 01:30:08,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1730838528.0,91275264.0,2952282112.0,3615526912.0,4292.0,1959.0
11-10 01:30:09,0.501,0.251,98.997,0.251,0.0,0.0,0.0,40960.0,1730838528.0,91275264.0,2952282112.0,3615526912.0,3205.0,1744.0
11-10 01:30:10,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1730838528.0,91275264.0,2952282112.0,3615526912.0,2661.0,1652.0
11-10 01:30:11,0.501,0.251,98.997,0.0,0.0,0.251,0.0,0.0,1730805760.0,91275264.0,2952282112.0,3615559680.0,20477.0,4992.0
11-10 01:30:12,0.501,0.251,99.248,0.0,0.0,0.0,0.0,8192.0,1730805760.0,91275264.0,2952282112.0,3615559680.0,5943.0,10693.0
11-10 01:30:13,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1730805760.0,91275264.0,2952282112.0,3615559680.0,3160.0,8969.0
11-10 01:30:14,0.750,7.250,91.750,0.250,0.0,0.0,0.0,131072.0,1731629056.0,91275264.0,2952294400.0,3614724096.0,7008.0,5214.0
11-10 01:30:15,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1731584000.0,91275264.0,2952290304.0,3614773248.0,3205.0,1761.0
11-10 01:30:16,0.501,0.251,99.248,0.0,0.0,0.0,0.0,0.0,1731584000.0,91275264.0,2952290304.0,3614773248.0,3057.0,1877.0
11-10 01:30:17,0.251,0.251,99.499,0.0,0.0,0.0,0.0,401408.0,1731584000.0,91275264.0,2952290304.0,3614773248.0,4292.0,1919.0
11-10 01:30:18,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1731457024.0,91275264.0,2952290304.0,3614900224.0,3205.0,1761.0
11-10 01:30:19,0.501,0.251,99.248,0.0,0.0,0.0,0.0,0.0,1731457024.0,91275264.0,2952290304.0,3614900224.0,2715.0,1786.0
11-10 01:30:20,0.503,0.251,96.985,2.261,0.0,0.0,0.0,73728.0,1731432448.0,91275264.0,2952290304.0,3614924800.0,7483.0,3981.0
11-10 01:30:21,0.251,0.251,99.499,0.0,0.0,0.0,0.0,0.0,1731416064.0,91275264.0,2952298496.0,3614932992.0,4907.0,3267.0
11-10 01:30:22,0.501,0.251,99.248,0.0,0.0,0.0,0.0,8192.0,1731411968.0,91275264.0,2952302592.0,3614932992.0,4250.0,2151.0
11-10 01:30:23,0.501,0.251,99.248,0.0,0.0,0.0,0.0,0.0,1731407872.0,91275264.0,2952306688.0,3614932992.0,4722.0,3015.0
11-10 01:30:24,0.250,0.250,99.500,0.0,0.0,0.0,0.0,0.0,1731399680.0,91275264.0,2952306688.0,3614941184.0,3184.0,1915.0
11-10 01:30:25,0.501,0.251,98.997,0.251,0.0,0.0,0.0,32768.0,1731399680.0,91275264.0,2952306688.0,3614941184.0,2628.0,1718.0
11-10 01:30:26,0.252,0.252,99.496,0.0,0.0,0.0,0.0,0.0,1731399680.0,91275264.0,2952306688.0,3614941184.0,4217.0,1978.0
