"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","testttt-mse-master-0.novalocal",,,,"User:","cloud-user"
"Cmdline:","dstat --time --cpu --disk --mem --net --output cidds_default.csv 1 200",,,,"Date:","10 Oct 2019 04:06:28 EDT"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"net/total",
"date/time","usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free","recv","send"
10-10 04:06:28,0.294,0.241,99.342,0.118,0.000,0.004,4953.149,87089.809,1584742400.0,90959872.0,2932146176.0,3782074368.0,0.0,0.0
10-10 04:06:29,5.750,2.0,91.750,0.500,0.0,0.0,0.0,81920.0,1607454720.0,90959872.0,2932150272.0,3759357952.0,3255.0,1764.0
10-10 04:06:30,40.452,4.020,55.528,0.0,0.0,0.0,0.0,0.0,1693937664.0,90959872.0,2937184256.0,3667841024.0,2066.0,1307.0
10-10 04:06:31,29.723,2.771,67.506,0.0,0.0,0.0,0.0,172032.0,1746345984.0,90959872.0,2937335808.0,3615281152.0,16525.0,614452.0
10-10 04:06:32,5.0,1.0,94.0,0.0,0.0,0.0,0.0,81920.0,1748938752.0,90959872.0,2937344000.0,3612680192.0,6892.0,11223.0
10-10 04:06:33,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1749090304.0,90959872.0,2937352192.0,3612520448.0,1996.0,2367.0
10-10 04:06:34,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1749090304.0,90959872.0,2937352192.0,3612520448.0,3788.0,2188.0
10-10 04:06:35,0.503,0.251,98.744,0.503,0.0,0.0,0.0,360448.0,1749090304.0,90959872.0,2937352192.0,3612520448.0,6222.0,4180.0
10-10 04:06:36,0.501,0.501,98.997,0.0,0.0,0.0,0.0,32768.0,1749086208.0,90959872.0,2937356288.0,3612520448.0,6536.0,3549.0
10-10 04:06:37,0.752,0.251,98.997,0.0,0.0,0.0,0.0,32768.0,1749225472.0,90959872.0,2937360384.0,3612377088.0,2980.0,2185.0
10-10 04:06:38,0.251,0.251,99.499,0.0,0.0,0.0,0.0,0.0,1749221376.0,90959872.0,2937364480.0,3612377088.0,5600.0,3623.0
10-10 04:06:39,0.251,0.251,99.497,0.0,0.0,0.0,0.0,0.0,1747951616.0,90959872.0,2937364480.0,3613646848.0,3516.0,2314.0
