Dstat 0.7.0 CSV output,,,,,,,,,,,,,,
Author:,Dag Wieers <dag@wieers.com>,,,,URL:,http://dag.wieers.com/home-made/dstat/,,,,,,,,
Host:,testttt-mse-master-0.novalocal,,,,User:,cloud-user,,,,,,,,
Cmdline:,dstat --time --cpu --disk --mem --net --output ctu13_iter5_1_4.csv 1 380,,,,Date:,09 Oct 2019 23:54:40 EDT,,,,,,,,
,0.748540897,,,,,,,61515.65172,1763121968,,,,5348.477573,18850.35884
system,total cpu usage,,,,,,dsk/total,,memory usage,,,,net/total,
date/time,usr,sys,idl,wai,hiq,siq,read,writ,used,buff,cach,free,recv,send
2019/9/10 23:54,33.835,5.263,60.652,0,0,0.251,0,352256,1637556224,90660864,2405289984,4256415744,2222,1279
2019/9/10 23:54,35.93,2.764,61.307,0,0,0,0,32768,1705717760,90660864,2405318656,4188225536,8807,544796
2019/9/10 23:54,15.152,1.01,83.838,0,0,0,0,139264,1710264320,90660864,2405326848,4183670784,16412,118994
2019/9/10 23:54,0.251,0.251,99.499,0,0,0,0,0,1710649344,90660864,2405339136,4183273472,1996,2367
2019/9/10 23:54,0.501,0.251,99.248,0,0,0,0,0,1710649344,90660864,2405339136,4183273472,3830,2230
2019/9/10 23:54,0.501,3.008,95.739,0.752,0,0,0,90112,1710977024,90660864,2405339136,4182945792,8876,6974
2019/9/10 23:54,1.008,3.778,95.214,0,0,0,0,24576,1711755264,90660864,2405355520,4182151168,7419,4798
2019/9/10 23:54,0.754,0.503,98.744,0,0,0,0,0,1712136192,90660864,2405355520,4181770240,3516,5522
2019/9/10 23:54,0.75,0.5,98.75,0,0,0,0,0,1712242688,90660864,2405376000,4181643264,10410,12421
2019/9/10 23:54,0.251,0.251,99.499,0,0,0,0,57344,1712369664,90660864,2405384192,4181508096,3430,1742
2019/9/10 23:54,0.5,0.25,99,0,0,0.25,0,0,1710075904,90660864,2405384192,4183801856,4254,11348
2019/9/10 23:54,0.251,0.251,98.747,0.752,0,0,0,131072,1710075904,90660864,2405384192,4183801856,4517,2063
2019/9/10 23:54,0.251,0.251,99.499,0,0,0,0,0,1710043136,90660864,2405384192,4183834624,3628,1959
2019/9/10 23:54,0,0.251,99.749,0,0,0,0,8192,1710137344,90660864,2405384192,4183740416,4042,2012
2019/9/10 23:54,0.752,0.251,98.997,0,0,0,0,8192,1710137344,90660864,2405384192,4183740416,6177,3054
2019/9/10 23:54,0.501,0.251,99.248,0,0,0,0,0,1710120960,90660864,2405384192,4183756800,12034,22465
2019/9/10 23:54,0.251,0.251,99.497,0,0,0,0,0,1710108672,90660864,2405388288,4183764992,5490,58670
2019/9/10 23:54,0.251,0.251,98.747,0.752,0,0,0,40960,1710092288,90660864,2405388288,4183781376,4535,2259
2019/9/10 23:55,0.251,0.251,99.497,0,0,0,0,0,1709957120,90660864,2405388288,4183916544,3958,2025
2019/9/10 23:55,0.501,0,99.499,0,0,0,0,8192,1709957120,90660864,2405388288,4183916544,3498,1735
2019/9/10 23:55,0.251,0.501,99.248,0,0,0,0,0,1709957120,90660864,2405388288,4183916544,5058,2043
2019/9/10 23:55,0.251,0.501,99.248,0,0,0,0,0,1709953024,90660864,2405392384,4183916544,3447,2071
2019/9/10 23:55,0.253,0,99.747,0,0,0,0,0,1709953024,90660864,2405392384,4183916544,2903,2331
2019/9/10 23:55,0.501,0.251,98.496,0.752,0,0,0,40960,1709953024,90660864,2405392384,4183916544,4534,2131
2019/9/10 23:55,0.5,0.5,99,0,0,0,0,401408,1709953024,90660864,2405392384,4183916544,6322,2580
2019/9/10 23:55,0.251,0,99.749,0,0,0,0,0,1709940736,90660864,2405396480,4183924736,3049,2111
2019/9/10 23:55,0.501,0.251,99.248,0,0,0,0,0,1709936640,90660864,2405400576,4183924736,9574,4434
2019/9/10 23:55,0.251,0.251,99.499,0,0,0,0,0,1709936640,90660864,2405400576,4183924736,3843,1935
2019/9/10 23:55,0.501,0,99.499,0,0,0,0,0,1709924352,90660864,2405412864,4183924736,2640,2300
2019/9/10 23:55,0.501,0.251,98.997,0.251,0,0,0,57344,1709924352,90660864,2405412864,4183924736,4271,2191
2019/9/10 23:55,0.251,0.251,99.497,0,0,0,0,0,1709924352,90660864,2405412864,4183924736,3131,1761
2019/9/10 23:55,0.251,0.251,99.499,0,0,0,0,0,1709924352,90660864,2405412864,4183924736,2588,1637
2019/9/10 23:55,0.752,0.251,98.997,0,0,0,0,0,1709924352,90660864,2405412864,4183924736,4275,2111
2019/9/10 23:55,0.252,0,99.748,0,0,0,0,0,1709924352,90660864,2405412864,4183924736,3134,1745
2019/9/10 23:55,0.503,0.754,96.482,2.261,0,0,0,10854400,1710178304,90660864,2405412864,4183670784,2590,1637
2019/9/10 23:55,0.251,0.251,99.499,0,0,0,0,0,1710333952,90660864,2405416960,4183511040,5023,2752
2019/9/10 23:55,0.503,0.251,99.246,0,0,0,0,8192,1710215168,90660864,2405416960,4183629824,4200,2453
2019/9/10 23:55,0.251,0.251,99.499,0,0,0,0,0,1710342144,90660864,2405416960,4183502848,2590,1653
2019/9/10 23:55,0.501,0.251,99.248,0,0,0,0,0,1710342144,90660864,2405416960,4183502848,4275,2111
2019/9/10 23:55,0.251,0,98.744,1.005,0,0,0,327680,1710342144,90660864,2405416960,4183502848,3134,1745
2019/9/10 23:55,0.748,0.499,98.753,0,0,0,0,0,1710342144,90660864,2405416960,4183502848,2590,1653
2019/9/10 23:55,0.252,0,99.748,0,0,0,0,0,1710342144,90660864,2405416960,4183502848,4275,2111
2019/9/10 23:55,0.501,0.251,99.248,0,0,0,0,0,1710215168,90660864,2405416960,4183629824,3134,1745
2019/9/10 23:55,0.501,0.251,99.248,0,0,0,0,0,1710215168,90660864,2405416960,4183629824,2590,1637
2019/9/10 23:55,0.251,0.251,99.497,0,0,0,0,0,1710215168,90660864,2405416960,4183629824,4275,2111
2019/9/10 23:55,0.503,0.251,98.995,0.251,0,0,0,57344,1710198784,90660864,2405416960,4183646208,3266,2398
2019/9/10 23:55,0.251,0.251,99.497,0,0,0,0,0,1710198784,90660864,2405416960,4183646208,2722,1676
2019/9/10 23:55,0.252,0.252,99.496,0,0,0,0,0,1710198784,90660864,2405416960,4183646208,4743,2417
2019/9/10 23:55,0.501,0.501,98.997,0,0,0,0,0,1710198784,90660864,2405416960,4183646208,3824,4213
2019/9/10 23:55,0.501,0,99.499,0,0,0,0,8192,1710071808,90660864,2405416960,4183773184,2590,1637
2019/9/10 23:55,0.251,0.501,99.248,0,0,0,0,0,1709944832,90660864,2405416960,4183900160,4275,2127
2019/9/10 23:55,0.251,0.251,98.747,0.501,0,0.251,0,40960,1709944832,90660864,2405416960,4183900160,3134,1745
2019/9/10 23:55,0.501,0,99.499,0,0,0,0,0,1709944832,90660864,2405416960,4183900160,2590,1696
2019/9/10 23:55,0.503,0.251,99.246,0,0,0,0,0,1709936640,90660864,2405416960,4183908352,4275,2111
2019/9/10 23:55,0.503,0.251,99.246,0,0,0,0,0,1709809664,90660864,2405416960,4184035328,3134,1745
2019/9/10 23:55,1.259,0.252,98.489,0,0,0,0,237568,1709809664,90660864,2405416960,4184035328,26999,15559
2019/9/10 23:55,1.005,0.503,98.492,0,0,0,0,8192,1709793280,90660864,2405433344,4184035328,10094,3175
2019/9/10 23:55,8.564,1.259,89.673,0.504,0,0,0,229376,1739038720,90660864,2405437440,4154785792,22731,665885
2019/9/10 23:55,0.501,0.251,99.248,0,0,0,0,0,1738874880,90660864,2405457920,4154929152,1490,826
