,0.644462162,,,,,,,64871.78378,1763897178,,,,5458.140541,19255.81081
system,total cpu usage,,,,,,dsk/total,,memory usage,,,,net/total,
date/time,usr,sys,idl,wai,hiq,siq,read,writ,used,buff,cach,free,recv,send
2019/10/10 1:12,33.753,2.771,63.476,0,0,0,0,32768,1693511680,90714112,2410737664,4194959360,3825,2120
2019/10/10 1:12,15.75,1.5,82,0.75,0,0,0,516096,1709031424,90714112,2410749952,4179427328,15797,651418
2019/10/10 1:12,0.504,0,99.496,0,0,0,0,0,1709248512,90714112,2410754048,4179206144,5233,11778
2019/10/10 1:12,0.251,0.251,99.497,0,0,0,0,0,1709281280,90714112,2410754048,4179173376,4380,1911
2019/10/10 1:12,0.5,0.5,99,0,0,0,0,0,1709154304,90714112,2410754048,4179300352,3905,3385
2019/10/10 1:12,1.005,0.251,98.744,0,0,0,0,49152,1709154304,90714112,2410754048,4179300352,7145,3991
2019/10/10 1:12,0.752,0.251,98.246,0.752,0,0,0,65536,1709039616,90714112,2410758144,4179410944,5661,2890
2019/10/10 1:12,0.752,0.251,98.997,0,0,0,0,0,1709031424,90714112,2410758144,4179419136,8976,15611
2019/10/10 1:12,0.251,0,99.749,0,0,0,0,0,1709015040,90714112,2410782720,4179410944,3123,1634
2019/10/10 1:12,0.5,0.25,99.25,0,0,0,0,0,1709015040,90714112,2410782720,4179410944,5061,2026
2019/10/10 1:12,0.752,1.003,97.995,0,0,0.251,0,0,1711042560,90714112,2410782720,4177383424,3271,2063
2019/10/10 1:12,0.252,0,99.748,0,0,0,0,376832,1710878720,90714112,2410786816,4177543168,5688,21071
2019/10/10 1:12,0.501,0.501,98.496,0.501,0,0,0,49152,1709670400,90714112,2410786816,4178751488,7327,7394
2019/10/10 1:12,0.752,0.251,98.997,0,0,0,0,16384,1709670400,90714112,2410786816,4178751488,6237,19626
2019/10/10 1:12,0.251,0.251,99.499,0,0,0,0,0,1709670400,90714112,2410786816,4178751488,6050,16572
2019/10/10 1:12,0.75,0.25,99,0,0,0,0,0,1709670400,90714112,2410786816,4178751488,10339,34038
2019/10/10 1:12,0.252,0,99.748,0,0,0,0,24576,1709637632,90714112,2410795008,4178776064,3209,1950
2019/10/10 1:12,0.251,0.251,99.499,0,0,0,0,81920,1709764608,90714112,2410795008,4178649088,3450,2229
2019/10/10 1:12,0.499,0.499,98.753,0.249,0,0,0,8192,1709735936,90714112,2410799104,4178673664,5873,2289
2019/10/10 1:12,0.251,0.251,99.497,0,0,0,0,0,1709735936,90714112,2410799104,4178673664,3199,1719
2019/10/10 1:12,0.252,0,99.748,0,0,0,0,0,1709715456,90714112,2410803200,4178690048,4499,2509
2019/10/10 1:12,0.5,0.5,99,0,0,0,0,0,1709715456,90714112,2410803200,4178690048,5141,2832
2019/10/10 1:12,0.251,0.251,99.499,0,0,0,0,0,1709584384,90714112,2410807296,4178817024,2790,2025
2019/10/10 1:12,0.5,0.25,98.25,1,0,0,0,32768,1709584384,90714112,2410807296,4178817024,3675,1887
2019/10/10 1:12,0.5,0.5,99,0,0,0,0,0,1709576192,90714112,2410807296,4178825216,6818,2739
2019/10/10 1:13,0.251,0.251,99.497,0,0,0,0,0,1709576192,90714112,2410807296,4178825216,3454,2083
2019/10/10 1:13,0.501,0,99.499,0,0,0,0,8192,1709563904,90714112,2410819584,4178825216,2968,2114
2019/10/10 1:13,0.5,0.25,99.25,0,0,0,0,0,1709563904,90714112,2410819584,4178825216,4437,2084
2019/10/10 1:13,0.252,0.252,99.496,0,0,0,0,0,1709551616,90714112,2410823680,4178833408,2586,1759
2019/10/10 1:13,0.251,0.251,99.248,0.251,0,0,0,49152,1709551616,90714112,2410823680,4178833408,2587,1637
2019/10/10 1:13,0.752,0.251,98.997,0,0,0,0,8192,1709551616,90714112,2410823680,4178833408,5717,2762
2019/10/10 1:13,0.251,0.251,99.499,0,0,0,0,10813440,1709551616,90714112,2410823680,4178833408,2590,1653
2019/10/10 1:13,0.251,0,99.749,0,0,0,0,0,1709678592,90714112,2410823680,4178706432,2590,1653
2019/10/10 1:13,0.251,0.251,99.497,0,0,0,0,0,1709678592,90714112,2410823680,4178706432,4819,2219
2019/10/10 1:13,0.251,0.251,99.497,0,0,0,0,0,1709678592,90714112,2410823680,4178706432,2590,1637
2019/10/10 1:13,0.501,0.251,98.997,0.251,0,0,0,188416,1709678592,90714112,2410823680,4178706432,3405,2251
2019/10/10 1:13,0.251,0.251,99.497,0,0,0,0,8192,1709678592,90714112,2410823680,4178706432,4819,2235
2019/10/10 1:13,0.251,0.251,99.497,0,0,0,0,0,1709678592,90714112,2410823680,4178706432,2590,1465
2019/10/10 1:13,0.5,0.25,99.25,0,0,0,0,0,1709678592,90714112,2410823680,4178706432,2590,1637
2019/10/10 1:13,0.501,0.251,99.248,0,0,0,0,0,1709678592,90714112,2410823680,4178706432,4765,2219
2019/10/10 1:13,0.501,0.251,98.246,1.003,0,0,0,57344,1709678592,90714112,2410823680,4178706432,2776,1703
2019/10/10 1:13,0.501,0.501,98.997,0,0,0,0,8192,1709678592,90714112,2410823680,4178706432,2590,1653
2019/10/10 1:13,0.252,0,99.748,0,0,0,0,0,1709690880,90714112,2410827776,4178690048,4813,2289
2019/10/10 1:13,0.501,0.251,99.248,0,0,0,0,0,1709690880,90714112,2410827776,4178690048,1886,1449
2019/10/10 1:13,0.251,0.251,99.497,0,0,0,0,0,1709690880,90714112,2410827776,4178690048,2491,1796
2019/10/10 1:13,0.503,0,99.497,0,0,0,0,90112,1709690880,90714112,2410827776,4178690048,4897,2136
