,0.736454054,,,,,,,63499.07027,1795211253,,,,5409.054054,19268.71622
system,total cpu usage,,,,,,dsk/total,,memory usage,,,,net/total,
date/time,usr,sys,idl,wai,hiq,siq,read,writ,used,buff,cach,free,recv,send
2019/10/10 3:16,10.276,2.506,87.218,0,0,0,0,0,1615171584,90816512,2425618432,4258316288,2168,1541
2019/10/10 3:16,43.216,3.518,53.266,0,0,0,0,0,1713442816,90816512,2425679872,4159983616,1522,1190
2019/10/10 3:16,16.373,1.763,81.864,0,0,0,0,155648,1737932800,90816512,2425679872,4135493632,15320,550821
2019/10/10 3:16,13.317,0.754,85.678,0,0,0.251,0,24576,1742184448,90816512,2425688064,4131233792,9823,114881
2019/10/10 3:16,0.251,0.501,99.248,0,0,0,0,0,1742462976,90816512,2425696256,4130947072,1494,935
2019/10/10 3:16,0.251,0.251,97.487,2.01,0,0,0,368640,1742209024,90816512,2425696256,4131201024,6000,2862
2019/10/10 3:16,0.501,0.251,99.248,0,0,0,0,24576,1742082048,90816512,2425696256,4131328000,4628,3629
2019/10/10 3:16,1.003,0.501,98.496,0,0,0,0,409600,1742073856,90816512,2425704448,4131328000,5864,3376
2019/10/10 3:16,0.756,0.252,98.992,0,0,0,0,0,1742209024,90816512,2425712640,4131184640,4611,2509
2019/10/10 3:16,0.752,0.251,98.997,0,0,0,0,0,1742135296,90816512,2425729024,4131241984,9466,15564
2019/10/10 3:16,0.501,0.251,99.248,0,0,0,0,0,1742397440,90816512,2425737216,4130971648,3123,1634
2019/10/10 3:16,0.251,0.503,98.492,0.754,0,0,0,65536,1742397440,90816512,2425737216,4130971648,5885,11656
2019/10/10 3:16,0.501,0.251,99.248,0,0,0,0,16384,1742397440,90816512,2425737216,4130971648,3430,1761
2019/10/10 3:16,0.252,0.252,99.496,0,0,0,0,0,1742397440,90816512,2425737216,4130971648,3084,1851
2019/10/10 3:16,0.75,0.75,98.5,0,0,0,0,0,1743663104,90816512,2425737216,4129705984,4902,2412
2019/10/10 3:16,0.756,0.252,98.992,0,0,0,0,16384,1743572992,90816512,2425737216,4129796096,5262,2928
2019/10/10 3:16,0.503,0.251,99.246,0,0,0,0,0,1743568896,90816512,2425741312,4129796096,11196,22148
2019/10/10 3:16,0.503,0.251,97.99,1.256,0,0,0,90112,1742520320,90816512,2425741312,4130844672,8400,59345
2019/10/10 3:16,0.501,0.251,99.248,0,0,0,0,0,1742376960,90816512,2425741312,4130988032,3430,2060
2019/10/10 3:16,0.503,0.251,99.246,0,0,0,0,0,1742376960,90816512,2425741312,4130988032,3474,2010
2019/10/10 3:16,0.501,0.251,99.248,0,0,0,0,0,1742233600,90816512,2425741312,4131131392,5585,2167
2019/10/10 3:16,0.251,0.251,99.497,0,0,0,0,0,1742217216,90816512,2425741312,4131147776,3622,1895
2019/10/10 3:16,0.501,0,98.997,0.501,0,0,0,73728,1742331904,90816512,2425745408,4131028992,2849,1813
2019/10/10 3:16,0.251,0.251,99.497,0,0,0,0,0,1742315520,90816512,2425745408,4131045376,4724,2675
2019/10/10 3:16,0.75,0.25,99,0,0,0,0,0,1742315520,90816512,2425745408,4131045376,4019,2338
2019/10/10 3:16,0,0,100,0,0,0,0,0,1742311424,90816512,2425749504,4131045376,3400,1853
2019/10/10 3:16,0.75,0.25,99,0,0,0,0,0,1742184448,90816512,2425749504,4131172352,7531,3095
2019/10/10 3:16,0.252,0.252,99.496,0,0,0,0,0,1742299136,90816512,2425761792,4131045376,8240,5793
2019/10/10 3:16,0.503,0,98.995,0.503,0,0,0,40960,1742290944,90820608,2425765888,4131045376,2995,2455
2019/10/10 3:16,0.501,0.251,99.248,0,0,0,0,0,1742286848,90820608,2425769984,4131045376,4218,2428
2019/10/10 3:16,0.501,0.251,99.248,0,0,0,0,0,1742282752,90820608,2425774080,4131045376,3185,1935
2019/10/10 3:16,0.503,0.251,99.246,0,0,0,0,0,1742155776,90820608,2425774080,4131172352,2587,1637
2019/10/10 3:16,0.501,0.251,99.248,0,0,0,0,10797056,1742155776,90820608,2425774080,4131172352,4219,1961
2019/10/10 3:16,0.251,0,99.749,0,0,0,0,0,1742282752,90820608,2425774080,4131045376,3134,1761
2019/10/10 3:16,0.501,0.251,98.496,0.752,0,0,0,196608,1742274560,90820608,2425774080,4131053568,2590,1637
2019/10/10 3:16,0.251,0.251,99.497,0,0,0,0,0,1742274560,90820608,2425774080,4131053568,4221,1977
2019/10/10 3:16,0.501,0.251,99.248,0,0,0,0,8192,1742274560,90820608,2425774080,4131053568,4081,2411
