,0.676119403,,,,,,1781383209,,,,5810.940299,27248.00995,,97134.49044
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/16 21:50,0.253,0.231,99.414,0.098,0,0.003,1732386816,91770880,3325431808,3240333312,0,0,1561.229,35264.578
2019/10/16 21:50,14.214,0.998,84.788,0,0,0,1736822784,91770880,3325448192,3235880960,13857,116866,0,81920
2019/10/16 21:50,0.501,0,99.499,0,0,0,1736851456,91770880,3325452288,3235848192,1996,935,0,0
2019/10/16 21:50,0.503,0.251,99.246,0,0,0,1736851456,91770880,3325452288,3235848192,6261,4633,0,32768
2019/10/16 21:50,0.501,0.251,98.496,0.752,0,0,1729613824,91770880,3325452288,3243085824,4602,2243,0,425984
2019/10/16 21:50,0.501,0.251,99.248,0,0,0,1729626112,91770880,3325456384,3243069440,5616,2975,0,8192
2019/10/16 21:50,1.005,0.251,98.744,0,0,0,1729605632,91770880,3325460480,3243085824,6413,6143,0,0
2019/10/16 21:50,0.501,0.251,99.248,0,0,0,1729581056,91770880,3325460480,3243110400,3873,3471,0,0
2019/10/16 21:50,0.251,0,99.749,0,0,0,1729581056,91770880,3325460480,3243110400,3130,1743,0,0
2019/10/16 21:50,0.25,0.5,99.25,0,0,0,1728692224,91770880,3325460480,3243999232,5042,5992,0,0
2019/10/16 21:50,0.503,0.251,98.995,0.251,0,0,1728692224,91770880,3325460480,3243999232,3129,1745,0,40960
2019/10/16 21:50,0.501,0.251,98.997,0,0,0.251,1728675840,91770880,3325460480,3244015616,3328,1960,0,0
2019/10/16 21:50,0.251,0.251,99.499,0,0,0,1728659456,91770880,3325460480,3244032000,3674,1852,0,0
2019/10/16 21:50,0.5,0.25,99.25,0,0,0,1728659456,91770880,3325460480,3244032000,3129,1745,0,409600
2019/10/16 21:50,0.503,0.251,99.246,0,0,0,1728659456,91770880,3325460480,3244032000,5009,2914,0,16384
