,0.595046358,,,,,,1782872023,,,,,25544.74834,,114109.5564
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/17 1:00,0.258,0.232,99.408,0.099,0,0.003,1734787072,91787264,3344953344,3218395136,0,0,1540.529,35535.018
2019/10/17 1:00,0.501,0.251,99.248,0,0,0,1735073792,91787264,3344961536,3218100224,1506,1331,0,0
2019/10/17 1:00,0.5,0.5,99,0,0,0,1735073792,91787264,3344961536,3218100224,5717,4524,0,0
2019/10/17 1:00,0.503,0.251,99.246,0,0,0,1734057984,91787264,3344961536,3219116032,5349,2334,0,24576
2019/10/17 1:00,0.75,0.5,98.75,0,0,0,1734070272,91787264,3344965632,3219099648,5373,2934,0,16384
2019/10/17 1:00,1.005,0,98.995,0,0,0,1734066176,91787264,3344969728,3219099648,6461,6428,0,0
2019/10/17 1:01,0.251,0.251,98.997,0.501,0,0,1734057984,91787264,3344969728,3219107840,4407,3397,0,90112
2019/10/17 1:01,0.251,0.251,99.497,0,0,0,1734049792,91787264,3344969728,3219116032,2586,1650,0,0
2019/10/17 1:01,0.754,2.513,96.734,0,0,0,1734344704,91787264,3344969728,3218821120,4498,5885,0,0
2019/10/17 1:01,0.251,0.251,99.499,0,0,0,1734344704,91787264,3344969728,3218821120,4217,1961,0,16384
2019/10/17 1:01,0.501,0.251,99.248,0,0,0,1734184960,91787264,3344969728,3218980864,2826,1893,0,0
2019/10/17 1:01,0.251,0.251,99.499,0,0,0,1734184960,91787264,3344969728,3218980864,3130,1745,0,0
2019/10/17 1:01,0.503,0.251,98.995,0.251,0,0,1734168576,91787264,3344969728,3218997248,4217,1961,0,81920
2019/10/17 1:01,0.251,0.251,99.497,0,0,0,1734033408,91787264,3344969728,3219132416,2586,1653,0,0
2019/10/17 1:01,0.251,0.251,99.497,0,0,0,1734033408,91787264,3344969728,3219132416,3130,1745,0,49152
