,0.643710407,,,,,,1795913441,,,,8323,33677.31222,,98056.71734
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/17 0:31,0.257,0.231,99.41,0.099,0,0.003,1737584640,91787264,3340513280,3220037632,0,0,1543.714,35462.533
2019/10/17 0:31,0.5,0.5,98.75,0.25,0,0,1737846784,91787264,3340521472,3219767296,6775,3808,0,49152
2019/10/17 0:31,0.754,0.251,98.995,0,0,0,1737859072,91787264,3340525568,3219750912,4477,2075,0,0
2019/10/17 0:31,0.752,0.251,98.997,0,0,0,1737977856,91787264,3340525568,3219632128,5917,7741,0,0
2019/10/17 0:31,0.501,0.251,99.248,0,0,0,1737953280,91787264,3340525568,3219656704,3320,1742,0,0
2019/10/17 0:31,0.251,0.251,99.497,0,0,0,1737961472,91787264,3340525568,3219648512,5584,4656,0,0
2019/10/17 0:31,0.251,0,99.246,0.503,0,0,1737961472,91787264,3340525568,3219648512,2586,3076,0,32768
2019/10/17 0:31,0.251,0.251,99.499,0,0,0,1737961472,91787264,3340525568,3219648512,3130,1761,0,425984
2019/10/17 0:31,0.501,0.251,99.248,0,0,0,1737928704,91787264,3340525568,3219681280,5966,3329,0,16384
2019/10/17 0:31,0.501,0.251,99.248,0,0,0,1737928704,91787264,3340525568,3219681280,2806,1653,0,0
2019/10/17 0:31,0.501,0.251,99.248,0,0,0,1737924608,91787264,3340529664,3219681280,3744,2171,0,0
2019/10/17 0:31,0.251,0.251,99.499,0,0,0,1737924608,91787264,3340529664,3219681280,5377,2459,0,0
2019/10/17 0:31,0.503,0.251,98.744,0.503,0,0,1737908224,91787264,3340529664,3219697664,2604,1637,0,40960
2019/10/17 0:31,0,0.251,99.749,0,0,0,1737908224,91787264,3340529664,3219697664,3262,1827,0,0
2019/10/17 0:31,0.752,0.251,98.997,0,0,0,1737949184,91787264,3340529664,3219656704,5169,2638,0,8192
