,0.651239819,,,,,,1790375482,,,,6453.343891,33722.50679,,95759.18373
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/17 1:36,0.259,0.232,99.407,0.099,0,0.003,1737531392,91791360,3348578304,3212021760,0,0,1536.77,35611.605
2019/10/17 1:36,0.504,0,99.496,0,0,0,1737543680,91791360,3348582400,3212005376,3174,1929,0,8192
2019/10/17 1:36,0.5,0.5,99,0,0,0,1737543680,91791360,3348582400,3212005376,5201,4171,0,0
2019/10/17 1:36,0.503,0.251,98.995,0.251,0,0,1737543680,91791360,3348582400,3212005376,7682,3958,0,40960
2019/10/17 1:36,0.503,0.251,98.995,0.251,0,0,1737555968,91791360,3348586496,3211988992,3404,2005,0,122880
2019/10/17 1:36,0.75,0.25,99,0,0,0,1737539584,91791360,3348586496,3212005376,6028,7155,0,0
2019/10/17 1:36,0.251,0.251,99.497,0,0,0,1737539584,91791360,3348586496,3212005376,3320,1743,0,409600
2019/10/17 1:36,0.501,0,99.499,0,0,0,1737527296,91791360,3348590592,3212013568,4822,4494,0,0
2019/10/17 1:36,0.251,0.251,99.497,0,0,0,1737527296,91791360,3348590592,3212013568,3396,3307,0,0
2019/10/17 1:36,0.251,0.251,99.497,0,0,0,1737527296,91791360,3348590592,3212013568,3130,1746,0,0
2019/10/17 1:36,1.003,0.251,98.246,0.501,0,0,1737510912,91791360,3348590592,3212029952,5423,3215,0,49152
2019/10/17 1:36,0.501,0.251,99.248,0,0,0,1737486336,91791360,3348590592,3212054528,3244,1750,0,16384
2019/10/17 1:36,0.501,0.251,99.248,0,0,0,1737486336,91791360,3348590592,3212054528,3744,2091,0,0
2019/10/17 1:36,0.501,0.251,99.248,0,0,0,1737482240,91791360,3348594688,3212054528,6661,6966,0,0
2019/10/17 1:36,0.252,0,99.748,0,0,0,1737457664,91791360,3348594688,3212079104,3147,1765,0,0
