,0.658574661,,,,,,1798129469,,,,6497.144796,33793.62896,,95240.37535
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/17 2:30,0.26,0.232,99.406,0.099,0,0.003,1741275136,91795456,3353190400,3203661824,0,0,1530.997,35642.952
2019/10/17 2:30,0.251,0.251,99.497,0,0,0,1741287424,91795456,3353194496,3203645440,5190,4671,0,0
2019/10/17 2:30,0.503,0.251,99.246,0,0,0,1741287424,91795456,3353194496,3203645440,5754,2709,0,32768
2019/10/17 2:30,0.752,0.251,98.997,0,0,0,1741287424,91795456,3353194496,3203645440,5550,2932,0,8192
2019/10/17 2:30,0.754,0.251,97.99,0.754,0,0.251,1741299712,91795456,3353198592,3203629056,5869,6138,0,98304
2019/10/17 2:30,0.501,0.251,99.248,0,0,0,1741426688,91795456,3353198592,3203502080,4460,3704,0,0
2019/10/17 2:30,0.5,0.25,99.25,0,0,0,1741418496,91795456,3353198592,3203510272,3129,1675,0,0
2019/10/17 2:30,0.251,0.251,99.497,0,0,0,1741418496,91795456,3353198592,3203510272,4497,5882,0,0
2019/10/17 2:30,0.251,0,99.749,0,0,0,1741418496,91795456,3353198592,3203510272,3674,1853,0,0
2019/10/17 2:30,0.251,0.501,99.248,0,0,0,1741418496,91795456,3353198592,3203510272,3327,1943,0,0
2019/10/17 2:30,0.5,0.25,98.75,0.5,0,0,1741385728,91795456,3353198592,3203543040,4808,2898,0,49152
2019/10/17 2:30,0.251,0.251,99.499,0,0,0,1741385728,91795456,3353198592,3203543040,5045,2219,0,0
2019/10/17 2:30,0.752,0.251,98.997,0,0,0,1741381632,91795456,3353202688,3203543040,5497,5502,0,0
2019/10/17 2:30,0.251,0.251,99.499,0,0,0,1741430784,91795456,3353202688,3203493888,3148,3204,0,0
2019/10/17 2:30,0.501,0,99.499,0,0,0,1741361152,91795456,3353206784,3203559424,3674,1853,0,24576
