"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster-worker-3",,,,"User:","ubuntu"
"Cmdline:","dstat --time -c -m -d -n --io --top-bio --output nb_cidd_3.csv",,,,"Date:","26 Sep 2019 06:39:39 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",,"io/total",,"most expensive"
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","read","writ","block i/o process"
26-09 06:39:39,0.183,0.075,94.885,4.855,0.0,0.003,997916672.0,3121152.0,87650304.0,3054637056.0,11005.626,19542.157,0.0,0.0,0.104,0.426,java / 2508:1621
26-09 06:39:40,0.505,0.0,98.990,0.505,0.0,0.0,997822464.0,3121152.0,87846912.0,3054534656.0,1048576.0,0.0,426.0,2328.0,4.0,0.0,java / 524288:12288
26-09 06:39:41,0.503,0.0,99.497,0.0,0.0,0.0,997822464.0,3121152.0,87846912.0,3054534656.0,1048576.0,0.0,317.0,1447.0,4.0,0.0,java / 1048576:0
26-09 06:39:42,0.0,0.500,99.0,0.500,0.0,0.0,997822464.0,3121152.0,87846912.0,3054534656.0,1048576.0,0.0,173.0,851.0,4.0,0.0,java / 1048576:0
26-09 06:39:43,0.995,0.0,98.010,0.995,0.0,0.0,997822464.0,3129344.0,87838720.0,3054534656.0,1048576.0,155648.0,282.0,1396.0,4.0,2.0,java / 1048576:0
26-09 06:39:44,0.0,0.503,99.497,0.0,0.0,0.0,997814272.0,3129344.0,87846912.0,3054534656.0,1048576.0,0.0,281.0,1003.0,4.0,0.0,java / 1048576:0
26-09 06:39:45,0.500,0.0,99.500,0.0,0.0,0.0,998076416.0,3129344.0,87584768.0,3054534656.0,786432.0,0.0,173.0,851.0,3.0,0.0,java / 786432:0
26-09 06:39:46,0.995,0.498,97.512,0.995,0.0,0.0,998076416.0,3129344.0,87584768.0,3054534656.0,1048576.0,0.0,282.0,1396.0,4.0,0.0,java / 1048576:0
26-09 06:39:47,0.503,0.0,99.497,0.0,0.0,0.0,998043648.0,3129344.0,87584768.0,3054567424.0,1048576.0,0.0,173.0,851.0,4.0,0.0,java / 1048576:0
26-09 06:39:48,0.0,0.503,99.497,0.0,0.0,0.0,998043648.0,3129344.0,87584768.0,3054567424.0,1048576.0,0.0,173.0,851.0,4.0,0.0,java / 1048576:0
26-09 06:39:49,0.498,0.498,98.010,0.995,0.0,0.0,998035456.0,3137536.0,87584768.0,3054567424.0,1048576.0,12288.0,282.0,1396.0,4.0,2.0,java / 1048576:0
26-09 06:39:50,0.500,0.500,98.500,0.500,0.0,0.0,998035456.0,3137536.0,87584768.0,3054567424.0,1048576.0,0.0,173.0,859.0,4.0,0.0,java / 1048576:0
