"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster-master",,,,"User:","ubuntu"
"Cmdline:","dstat --time -c -m -d -n --io --top-bio --output nb_cidd_master.csv",,,,"Date:","26 Sep 2019 06:39:15 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",,"io/total",,"most expensive"
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","read","writ","block i/o process"
26-09 06:39:15,0.170,0.068,82.059,17.701,0.0,0.003,1300602880.0,3895296.0,137490432.0,6928908288.0,3754.099,14601.226,0.0,0.0,0.044,0.354,bash / 9:521
26-09 06:39:16,0.504,0.0,99.496,0.0,0.0,0.0,1301032960.0,3895296.0,137580544.0,6928388096.0,0.0,0.0,2923.0,2030.0,0.0,0.0,bash / 9:521
26-09 06:39:17,0.250,0.0,99.750,0.0,0.0,0.0,1301000192.0,3895296.0,137580544.0,6928420864.0,0.0,0.0,4561.0,1637.0,0.0,0.0,bash / 9:521
26-09 06:39:18,0.501,0.0,99.499,0.0,0.0,0.0,1300967424.0,3895296.0,137580544.0,6928453632.0,0.0,0.0,5650.0,1855.0,0.0,0.0,bash / 9:521
26-09 06:39:19,0.249,0.499,99.252,0.0,0.0,0.0,1300934656.0,3895296.0,137580544.0,6928486400.0,0.0,0.0,2965.0,1352.0,0.0,0.0,bash / 9:521
26-09 06:39:20,0.251,0.0,99.248,0.501,0.0,0.0,1300901888.0,3903488.0,137572352.0,6928519168.0,0.0,139264.0,4561.0,1637.0,0.0,2.0,bash / 9:521
26-09 06:39:21,0.251,0.251,99.499,0.0,0.0,0.0,1300860928.0,3903488.0,137580544.0,6928551936.0,0.0,0.0,5650.0,1871.0,0.0,0.0,bash / 9:521
26-09 06:39:22,0.500,0.250,99.250,0.0,0.0,0.0,1301024768.0,3903488.0,137580544.0,6928388096.0,0.0,0.0,2923.0,1310.0,0.0,0.0,bash / 9:521
26-09 06:39:23,0.500,0.0,99.500,0.0,0.0,0.0,1300992000.0,3903488.0,137580544.0,6928420864.0,0.0,0.0,4561.0,1637.0,0.0,0.0,bash / 9:521
26-09 06:39:24,0.250,0.250,99.500,0.0,0.0,0.0,1300955136.0,3907584.0,137580544.0,6928453632.0,4096.0,167936.0,5650.0,1855.0,1.0,33.0,java / 0:8192
26-09 06:39:25,0.748,0.0,99.252,0.0,0.0,0.0,1300922368.0,3907584.0,137580544.0,6928486400.0,0.0,0.0,2923.0,1358.0,0.0,0.0,java / 0:8192
26-09 06:39:26,0.0,0.501,98.997,0.501,0.0,0.0,1300881408.0,3915776.0,137580544.0,6928519168.0,0.0,36864.0,4627.0,1739.0,0.0,3.0,java / 0:8192
26-09 06:39:27,0.501,0.0,99.499,0.0,0.0,0.0,1301012480.0,3915776.0,137580544.0,6928388096.0,0.0,0.0,5650.0,1871.0,0.0,0.0,java / 0:8192
