"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster-worker-8",,,,"User:","ubuntu"
"Cmdline:","dstat --time -c -m -d -n --io --top-bio --output nbt_cidd_8.csv",,,,"Date:","26 Sep 2019 07:25:13 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",,"io/total",,"most expensive"
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","read","writ","block i/o process"
26-09 07:25:13,0.202,0.083,94.989,4.723,0.0,0.003,1022951424.0,11399168.0,601387008.0,2507587584.0,12149.883,21213.634,0.0,0.0,0.116,0.424,java / 3426:2335
26-09 07:25:14,0.0,0.500,99.0,0.500,0.0,0.0,1022873600.0,11399168.0,601522176.0,2507530240.0,1048576.0,0.0,173.0,1568.0,4.0,0.0,java / 1048576:0
26-09 07:25:15,0.503,0.0,99.497,0.0,0.0,0.0,1022566400.0,11399168.0,601571328.0,2507788288.0,1048576.0,0.0,282.0,1397.0,4.0,0.0,java / 1048576:0
26-09 07:25:16,0.0,0.0,100.0,0.0,0.0,0.0,1022783488.0,11399168.0,601513984.0,2507628544.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:25:17,0.500,0.500,99.0,0.0,0.0,0.0,1022783488.0,11399168.0,601513984.0,2507628544.0,1048576.0,0.0,239.0,946.0,4.0,0.0,java / 1048576:0
26-09 07:25:18,0.0,0.0,99.495,0.505,0.0,0.0,1022734336.0,11399168.0,601563136.0,2507628544.0,1048576.0,32768.0,324.0,1439.0,4.0,7.0,java / 1048576:0
26-09 07:25:19,0.0,0.500,98.500,1.0,0.0,0.0,1022648320.0,11407360.0,601513984.0,2507755520.0,1048576.0,28672.0,173.0,860.0,4.0,2.0,java / 1048576:0
26-09 07:25:20,0.503,0.0,99.497,0.0,0.0,0.0,1022910464.0,11407360.0,601419776.0,2507587584.0,1048576.0,0.0,173.0,860.0,4.0,0.0,java / 1048576:0
26-09 07:25:21,0.500,0.0,99.500,0.0,0.0,0.0,1022885888.0,11407360.0,601571328.0,2507460608.0,1179648.0,0.0,282.0,1397.0,5.0,0.0,java / 1179648:0
26-09 07:25:22,0.0,0.0,99.495,0.505,0.0,0.0,1022906368.0,11407360.0,601550848.0,2507460608.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:25:23,0.500,0.0,99.500,0.0,0.0,0.0,1022910464.0,11407360.0,601440256.0,2507567104.0,786432.0,0.0,173.0,852.0,3.0,0.0,java / 786432:0
26-09 07:25:24,0.500,0.500,99.0,0.0,0.0,0.0,1022984192.0,11407360.0,601440256.0,2507493376.0,1048576.0,0.0,282.0,1397.0,4.0,0.0,java / 1048576:0
26-09 07:25:25,0.500,0.0,98.0,1.500,0.0,0.0,1023000576.0,11415552.0,601440256.0,2507468800.0,1048576.0,12288.0,173.0,852.0,4.0,2.0,java / 1048576:0
26-09 07:25:26,0.0,0.503,98.995,0.503,0.0,0.0,1023000576.0,11415552.0,601440256.0,2507468800.0,1048576.0,0.0,239.0,962.0,4.0,0.0,java / 1048576:0
26-09 07:25:27,0.505,0.0,99.495,0.0,0.0,0.0,1023000576.0,11415552.0,601440256.0,2507468800.0,1048576.0,0.0,348.0,1491.0,4.0,0.0,java / 1048576:0
26-09 07:25:28,0.498,0.0,99.005,0.498,0.0,0.0,1023000576.0,11415552.0,601440256.0,2507468800.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:25:29,0.500,0.500,99.0,0.0,0.0,0.0,1023000576.0,11415552.0,601440256.0,2507468800.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:25:30,0.0,0.500,99.0,0.500,0.0,0.0,1023000576.0,11415552.0,601440256.0,2507468800.0,1048576.0,0.0,282.0,1397.0,4.0,0.0,java / 1048576:0
26-09 07:25:31,0.0,0.0,99.495,0.505,0.0,0.0,1022476288.0,11423744.0,601444352.0,2507980800.0,1048576.0,12288.0,173.0,852.0,4.0,2.0,java / 1048576:0
26-09 07:25:32,0.503,0.0,99.497,0.0,0.0,0.0,1022951424.0,11423744.0,601382912.0,2507567104.0,1048576.0,0.0,173.0,860.0,4.0,0.0,java / 1048576:0
26-09 07:25:33,1.0,0.0,99.0,0.0,0.0,0.0,1022951424.0,11423744.0,601382912.0,2507567104.0,1048576.0,0.0,384.0,1463.0,4.0,0.0,java / 1048576:0
26-09 07:25:34,0.0,0.0,99.497,0.503,0.0,0.0,1023049728.0,11423744.0,601382912.0,2507468800.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:25:35,0.503,0.0,99.497,0.0,0.0,0.0,1022402560.0,11423744.0,602349568.0,2507149312.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:25:36,0.0,0.500,99.0,0.500,0.0,0.0,1022656512.0,11423744.0,602349568.0,2506895360.0,1048576.0,0.0,282.0,1397.0,4.0,0.0,java / 1048576:0
26-09 07:25:37,0.503,0.0,98.492,1.005,0.0,0.0,1022648320.0,11431936.0,602349568.0,2506895360.0,1048576.0,12288.0,173.0,852.0,4.0,2.0,java / 1048576:0
26-09 07:25:38,0.498,0.498,98.507,0.498,0.0,0.0,1022623744.0,11431936.0,602374144.0,2506895360.0,1069056.0,28672.0,239.0,962.0,5.0,4.0,java / 1069056:8192
26-09 07:25:39,0.503,0.0,99.497,0.0,0.0,0.0,1022623744.0,11431936.0,602374144.0,2506895360.0,1048576.0,0.0,737.0,1413.0,4.0,0.0,java / 1048576:8192
26-09 07:25:40,0.503,0.0,99.497,0.0,0.0,0.0,1022590976.0,11431936.0,602374144.0,2506928128.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:25:41,0.0,0.0,100.0,0.0,0.0,0.0,1022590976.0,11431936.0,602374144.0,2506928128.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:25:42,0.500,0.500,98.0,1.0,0.0,0.0,1022664704.0,11431936.0,579317760.0,2529910784.0,1048576.0,0.0,354.0,1397.0,4.0,0.0,java / 1048576:4096
26-09 07:25:43,0.503,0.0,98.492,1.005,0.0,0.0,1022562304.0,11440128.0,579330048.0,2529992704.0,1048576.0,65536.0,215.0,894.0,4.0,3.0,java / 1048576:0
26-09 07:25:44,0.498,0.498,99.005,0.0,0.0,0.0,1022562304.0,11440128.0,579330048.0,2529992704.0,1048576.0,0.0,173.0,860.0,4.0,0.0,java / 1048576:0
26-09 07:25:45,0.500,0.0,99.500,0.0,0.0,0.0,1022562304.0,11440128.0,579330048.0,2529992704.0,1048576.0,0.0,282.0,1397.0,4.0,0.0,java / 1048576:0
26-09 07:25:46,0.503,0.0,98.995,0.503,0.0,0.0,1022562304.0,11440128.0,579330048.0,2529992704.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:25:47,0.0,0.503,99.497,0.0,0.0,0.0,1022091264.0,11440128.0,579387392.0,2530406400.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:25:48,0.0,0.0,98.995,1.005,0.0,0.0,1022464000.0,11448320.0,579387392.0,2530025472.0,1048576.0,28672.0,282.0,1397.0,4.0,3.0,java / 1048576:0
26-09 07:25:49,0.503,0.0,99.497,0.0,0.0,0.0,1022464000.0,11448320.0,579387392.0,2530025472.0,1048576.0,0.0,173.0,860.0,4.0,0.0,java / 1048576:0
26-09 07:25:50,0.0,0.500,98.500,1.0,0.0,0.0,1022464000.0,11448320.0,579387392.0,2530025472.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:25:51,0.498,0.995,98.507,0.0,0.0,0.0,1022291968.0,11448320.0,579178496.0,2530406400.0,786432.0,0.0,282.0,1397.0,3.0,0.0,java / 786432:0
26-09 07:25:52,0.500,0.0,99.500,0.0,0.0,0.0,1022529536.0,11448320.0,579067904.0,2530279424.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:25:53,0.0,0.503,99.497,0.0,0.0,0.0,1022529536.0,11448320.0,579067904.0,2530279424.0,1048576.0,65536.0,173.0,852.0,4.0,12.0,java / 1048576:0
26-09 07:25:54,0.0,0.503,98.492,1.005,0.0,0.0,1022521344.0,11456512.0,579067904.0,2530279424.0,1048576.0,12288.0,282.0,1405.0,4.0,2.0,java / 1048576:0
26-09 07:25:55,1.0,0.0,99.0,0.0,0.0,0.0,1022394368.0,11456512.0,579067904.0,2530406400.0,933888.0,0.0,173.0,926.0,4.0,0.0,java / 933888:0
26-09 07:25:56,0.0,0.0,100.0,0.0,0.0,0.0,1022320640.0,11456512.0,579235840.0,2530312192.0,1212416.0,0.0,305.0,1686.0,10.0,0.0,java / 1212416:0
26-09 07:25:57,0.0,0.503,99.497,0.0,0.0,0.0,1022439424.0,11456512.0,579117056.0,2530312192.0,1048576.0,0.0,282.0,1397.0,4.0,0.0,java / 1048576:0
26-09 07:25:58,0.495,0.495,98.515,0.495,0.0,0.0,1022500864.0,11456512.0,579182592.0,2530185216.0,1114112.0,0.0,173.0,852.0,5.0,0.0,java / 1114112:0
26-09 07:25:59,0.0,0.0,100.0,0.0,0.0,0.0,1022500864.0,11456512.0,579182592.0,2530185216.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:26:00,0.500,0.500,98.500,0.500,0.0,0.0,1022492672.0,11464704.0,579182592.0,2530185216.0,1048576.0,16384.0,282.0,1397.0,4.0,2.0,java / 1048576:0
26-09 07:26:01,0.500,0.500,99.0,0.0,0.0,0.0,1022492672.0,11464704.0,579182592.0,2530185216.0,1048576.0,0.0,173.0,860.0,4.0,0.0,java / 1048576:0
26-09 07:26:02,0.503,0.0,99.497,0.0,0.0,0.0,1022488576.0,11464704.0,579313664.0,2530058240.0,1179648.0,0.0,173.0,852.0,5.0,0.0,java / 1179648:0
26-09 07:26:03,0.503,0.0,99.497,0.0,0.0,0.0,1022259200.0,11464704.0,579416064.0,2530185216.0,1048576.0,0.0,282.0,1397.0,4.0,0.0,java / 1048576:0
26-09 07:26:04,0.0,0.500,99.0,0.500,0.0,0.0,1022398464.0,11464704.0,579371008.0,2530091008.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:26:05,1.0,0.0,99.0,0.0,0.0,0.0,1022398464.0,11464704.0,579371008.0,2530091008.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:26:06,0.503,0.0,98.995,0.503,0.0,0.0,1022386176.0,11472896.0,579375104.0,2530091008.0,1048576.0,12288.0,282.0,1397.0,4.0,2.0,java / 1048576:0
