"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster-master",,,,"User:","ubuntu"
"Cmdline:","dstat --time -c -m -d -n --io --top-bio --output nbt_cidd_master.csv",,,,"Date:","26 Sep 2019 07:24:31 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",,"io/total",,"most expensive"
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","read","writ","block i/o process"
26-09 07:24:31,0.173,0.068,82.059,17.697,0.0,0.003,1316794368.0,17850368.0,290975744.0,6745276416.0,3759.268,14625.629,0.0,0.0,0.045,0.354,bash / 14:539
26-09 07:24:32,0.250,0.0,99.500,0.0,0.0,0.250,1316872192.0,17858560.0,290971648.0,6745194496.0,0.0,28672.0,4088.0,2345.0,0.0,1.0,bash / 14:539
26-09 07:24:33,0.250,0.250,99.250,0.250,0.0,0.0,1317027840.0,17858560.0,290979840.0,6745030656.0,0.0,4096.0,3478.0,1433.0,0.0,1.0,bash / 14:539
26-09 07:24:34,0.746,0.0,99.254,0.0,0.0,0.0,1317122048.0,17858560.0,290979840.0,6744936448.0,0.0,0.0,5724.0,1975.0,0.0,0.0,bash / 14:539
26-09 07:24:35,0.251,0.251,99.499,0.0,0.0,0.0,1317089280.0,17858560.0,290979840.0,6744969216.0,0.0,0.0,4022.0,1528.0,0.0,0.0,bash / 14:539
26-09 07:24:36,0.251,0.0,99.749,0.0,0.0,0.0,1317056512.0,17858560.0,290979840.0,6745001984.0,0.0,0.0,3520.0,1459.0,0.0,0.0,bash / 14:539
26-09 07:24:37,0.251,0.251,99.499,0.0,0.0,0.0,1316990976.0,17858560.0,290979840.0,6745067520.0,0.0,0.0,5658.0,1857.0,0.0,0.0,bash / 14:539
26-09 07:24:38,0.251,0.0,99.499,0.251,0.0,0.0,1316958208.0,17866752.0,290971648.0,6745100288.0,0.0,12288.0,4022.0,1528.0,0.0,2.0,bash / 14:539
26-09 07:24:39,0.249,0.499,99.252,0.0,0.0,0.0,1317113856.0,17866752.0,290979840.0,6744936448.0,0.0,0.0,3478.0,1433.0,0.0,0.0,bash / 14:539
26-09 07:24:40,0.251,0.0,99.749,0.0,0.0,0.0,1317081088.0,17866752.0,290979840.0,6744969216.0,0.0,0.0,5724.0,1959.0,0.0,0.0,bash / 14:539
26-09 07:24:41,0.249,0.498,99.254,0.0,0.0,0.0,1317048320.0,17866752.0,290979840.0,6745001984.0,0.0,0.0,4022.0,1528.0,0.0,0.0,bash / 14:539
26-09 07:24:42,0.501,0.0,99.499,0.0,0.0,0.0,1317015552.0,17866752.0,290979840.0,6745034752.0,0.0,0.0,3622.0,1973.0,0.0,0.0,bash / 14:539
26-09 07:24:43,0.250,0.250,99.500,0.0,0.0,0.0,1316982784.0,17866752.0,290979840.0,6745067520.0,0.0,0.0,5658.0,1857.0,0.0,0.0,bash / 14:539
26-09 07:24:44,0.0,0.251,98.997,0.752,0.0,0.0,1317138432.0,17874944.0,290979840.0,6744903680.0,0.0,49152.0,4022.0,1528.0,0.0,7.0,java / 0:8192
26-09 07:24:45,0.498,0.249,99.254,0.0,0.0,0.0,1317105664.0,17874944.0,290979840.0,6744936448.0,0.0,0.0,3544.0,1551.0,0.0,0.0,java / 0:8192
26-09 07:24:46,0.251,0.251,99.499,0.0,0.0,0.0,1317072896.0,17874944.0,290979840.0,6744969216.0,0.0,0.0,5724.0,1959.0,0.0,0.0,java / 0:8192
26-09 07:24:47,0.501,0.0,99.499,0.0,0.0,0.0,1317040128.0,17874944.0,290979840.0,6745001984.0,0.0,0.0,4022.0,1528.0,0.0,0.0,java / 0:8192
26-09 07:24:48,0.250,0.0,99.750,0.0,0.0,0.0,1317007360.0,17874944.0,290979840.0,6745034752.0,0.0,0.0,3478.0,1417.0,0.0,0.0,java / 0:8192
26-09 07:24:49,0.501,0.251,98.997,0.251,0.0,0.0,1316933632.0,17883136.0,290979840.0,6745100288.0,0.0,24576.0,5724.0,1959.0,0.0,2.0,java / 0:12288
