"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster-worker-1",,,,"User:","ubuntu"
"Cmdline:","dstat --time -c -m -d -n --io --top-bio --output rf3_cidd_1.csv",,,,"Date:","25 Sep 2019 05:47:39 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",,"io/total",,"most expensive"
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","read","writ","block i/o process"
25-09 05:47:39,0.129,0.072,96.158,3.639,0.0,0.003,563200000.0,5935104.0,87310336.0,3486879744.0,7082.853,17358.924,0.0,0.0,0.080,0.418,java / 4321:7045
25-09 05:47:40,0.503,0.503,97.990,1.005,0.0,0.0,563367936.0,5943296.0,87445504.0,3486568448.0,0.0,159744.0,175.0,1528.0,0.0,2.0,java / 4321:7045
25-09 05:47:41,0.500,0.0,99.500,0.0,0.0,0.0,563359744.0,5943296.0,87453696.0,3486568448.0,0.0,0.0,175.0,824.0,0.0,0.0,java / 4321:7045
25-09 05:47:42,0.0,0.0,100.0,0.0,0.0,0.0,563326976.0,5943296.0,87453696.0,3486601216.0,0.0,0.0,351.0,1456.0,0.0,0.0,java / 4321:7045
25-09 05:47:43,0.0,0.503,99.497,0.0,0.0,0.0,563326976.0,5943296.0,87453696.0,3486601216.0,0.0,0.0,175.0,808.0,0.0,0.0,java / 4321:7045
25-09 05:47:44,0.498,0.498,99.005,0.0,0.0,0.0,563326976.0,5943296.0,87453696.0,3486601216.0,0.0,0.0,217.0,850.0,0.0,0.0,java / 4321:7045
25-09 05:47:45,0.503,0.0,99.497,0.0,0.0,0.0,563326976.0,5943296.0,87453696.0,3486601216.0,0.0,176128.0,285.0,1354.0,0.0,31.0,java / 0:8192
25-09 05:47:46,0.503,0.0,97.990,1.508,0.0,0.0,563318784.0,5951488.0,87453696.0,3486601216.0,0.0,28672.0,241.0,942.0,0.0,2.0,java / 0:4096
25-09 05:47:47,0.500,0.0,99.500,0.0,0.0,0.0,563326976.0,5951488.0,87453696.0,3486593024.0,0.0,0.0,175.0,848.0,0.0,0.0,java / 0:4096
25-09 05:47:48,0.0,0.500,99.500,0.0,0.0,0.0,563326976.0,5951488.0,87453696.0,3486593024.0,0.0,0.0,285.0,1354.0,0.0,0.0,java / 0:4096
25-09 05:47:49,0.500,0.500,99.0,0.0,0.0,0.0,563326976.0,5951488.0,87453696.0,3486593024.0,0.0,0.0,175.0,832.0,0.0,0.0,java / 0:4096
