"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster-master",,,,"User:","ubuntu"
"Cmdline:","dstat --time -c -m -d -n --io --top-bio --output rf3_cidd_master.csv",,,,"Date:","25 Sep 2019 05:47:32 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",,"io/total",,"most expensive"
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","read","writ","block i/o process"
25-09 05:47:32,0.161,0.067,81.939,17.830,0.0,0.003,941408256.0,4841472.0,138084352.0,7286562816.0,3726.708,13572.879,0.0,0.0,0.041,0.341,java / 0:88
25-09 05:47:33,0.250,0.500,98.750,0.500,0.0,0.0,941559808.0,4841472.0,138350592.0,7286145024.0,0.0,0.0,3445.0,2157.0,0.0,0.0,java / 0:88
25-09 05:47:34,0.251,0.251,99.248,0.251,0.0,0.0,941527040.0,4849664.0,138342400.0,7286177792.0,0.0,180224.0,3447.0,1435.0,0.0,8.0,java / 0:8192
25-09 05:47:35,0.501,0.0,99.499,0.0,0.0,0.0,941486080.0,4849664.0,138350592.0,7286210560.0,0.0,0.0,6178.0,2026.0,0.0,0.0,java / 0:8192
25-09 05:47:36,0.250,0.250,99.500,0.0,0.0,0.0,941420544.0,4849664.0,138350592.0,7286276096.0,0.0,0.0,3445.0,1437.0,0.0,0.0,java / 0:8192
25-09 05:47:37,0.250,0.250,99.500,0.0,0.0,0.0,941420544.0,4849664.0,138350592.0,7286276096.0,0.0,0.0,3489.0,1477.0,0.0,0.0,java / 0:8192
25-09 05:47:38,0.251,0.0,99.749,0.0,0.0,0.0,941355008.0,4849664.0,138350592.0,7286341632.0,0.0,0.0,6178.0,1986.0,0.0,0.0,java / 0:8192
25-09 05:47:39,0.499,0.0,99.501,0.0,0.0,0.0,941518848.0,4849664.0,138350592.0,7286177792.0,0.0,0.0,3445.0,1437.0,0.0,0.0,java / 0:8192
25-09 05:47:40,0.501,0.0,98.747,0.752,0.0,0.0,941477888.0,4857856.0,138350592.0,7286210560.0,0.0,20480.0,3447.0,1435.0,0.0,2.0,java / 0:8192
25-09 05:47:41,0.0,0.251,99.749,0.0,0.0,0.0,941445120.0,4857856.0,138350592.0,7286243328.0,0.0,0.0,6178.0,2002.0,0.0,0.0,java / 0:8192
25-09 05:47:42,0.500,0.0,99.500,0.0,0.0,0.0,941412352.0,4857856.0,138350592.0,7286276096.0,0.0,0.0,3445.0,1437.0,0.0,0.0,java / 0:8192
25-09 05:47:43,0.499,0.249,99.252,0.0,0.0,0.0,941379584.0,4857856.0,138350592.0,7286308864.0,0.0,0.0,3447.0,1435.0,0.0,0.0,java / 0:8192
25-09 05:47:44,0.499,0.249,99.252,0.0,0.0,0.0,941510656.0,4857856.0,138350592.0,7286177792.0,0.0,0.0,6178.0,1986.0,0.0,0.0,java / 0:8192
25-09 05:47:45,0.0,0.251,99.749,0.0,0.0,0.0,941510656.0,4857856.0,138350592.0,7286177792.0,0.0,0.0,3445.0,1437.0,0.0,0.0,java / 0:8192
25-09 05:47:46,0.251,0.251,99.248,0.251,0.0,0.0,941469696.0,4866048.0,138350592.0,7286210560.0,0.0,12288.0,3447.0,1435.0,0.0,2.0,java / 0:8192
25-09 05:47:47,0.250,0.250,99.500,0.0,0.0,0.0,941436928.0,4866048.0,138350592.0,7286243328.0,0.0,0.0,6178.0,2002.0,0.0,0.0,java / 0:8192
25-09 05:47:48,0.250,0.250,99.500,0.0,0.0,0.0,941404160.0,4866048.0,138350592.0,7286276096.0,0.0,0.0,3445.0,1437.0,0.0,0.0,java / 0:8192
25-09 05:47:49,0.250,0.250,99.500,0.0,0.0,0.0,941371392.0,4866048.0,138350592.0,7286308864.0,0.0,0.0,3447.0,1435.0,0.0,0.0,java / 0:8192
25-09 05:47:50,0.250,0.250,99.500,0.0,0.0,0.0,941535232.0,4866048.0,138350592.0,7286145024.0,0.0,0.0,6178.0,1986.0,0.0,0.0,java / 0:8192
25-09 05:47:51,0.250,0.250,99.500,0.0,0.0,0.0,941469696.0,4866048.0,138350592.0,7286210560.0,0.0,0.0,3445.0,1437.0,0.0,0.0,java / 0:8192
25-09 05:47:52,0.500,0.0,99.0,0.500,0.0,0.0,941461504.0,4874240.0,138350592.0,7286210560.0,0.0,12288.0,3447.0,1435.0,0.0,2.0,java / 0:8192
25-09 05:47:53,0.251,0.0,99.749,0.0,0.0,0.0,941395968.0,4874240.0,138350592.0,7286276096.0,0.0,0.0,6178.0,2002.0,0.0,0.0,java / 0:8192
25-09 05:47:54,0.0,0.251,99.749,0.0,0.0,0.0,941363200.0,4874240.0,138350592.0,7286308864.0,0.0,0.0,3445.0,1546.0,0.0,0.0,java / 0:8192
25-09 05:47:55,0.249,0.748,98.504,0.499,0.0,0.0,941449216.0,4882432.0,138350592.0,7286214656.0,0.0,24576.0,3837.0,1668.0,0.0,3.0,java / 0:8192
25-09 05:47:56,0.249,0.499,99.252,0.0,0.0,0.0,941645824.0,4882432.0,138350592.0,7286018048.0,0.0,0.0,6178.0,2002.0,0.0,0.0,java / 0:8192
25-09 05:47:57,0.498,0.498,99.005,0.0,0.0,0.0,941613056.0,4882432.0,138350592.0,7286050816.0,0.0,0.0,3445.0,1437.0,0.0,0.0,java / 0:8192
25-09 05:47:58,0.748,0.249,99.002,0.0,0.0,0.0,941576192.0,4882432.0,138354688.0,7286083584.0,0.0,0.0,3447.0,1435.0,0.0,0.0,java / 0:8192
25-09 05:47:59,0.251,0.0,99.749,0.0,0.0,0.0,941543424.0,4882432.0,138354688.0,7286116352.0,0.0,139264.0,6178.0,2096.0,0.0,26.0,java / 0:8192
25-09 05:48:00,0.251,0.251,98.997,0.501,0.0,0.0,941510656.0,4890624.0,138346496.0,7286149120.0,0.0,16384.0,3487.0,1385.0,0.0,2.0,java / 0:8192
25-09 05:48:01,0.0,0.499,99.501,0.0,0.0,0.0,941469696.0,4890624.0,138354688.0,7286181888.0,0.0,0.0,3513.0,1553.0,0.0,0.0,java / 0:8192
25-09 05:48:02,0.250,0.250,99.500,0.0,0.0,0.0,941633536.0,4890624.0,138354688.0,7286018048.0,0.0,0.0,6178.0,1986.0,0.0,0.0,java / 0:8192
25-09 05:48:03,0.251,0.0,99.749,0.0,0.0,0.0,941600768.0,4890624.0,138354688.0,7286050816.0,0.0,0.0,3445.0,1437.0,0.0,0.0,java / 0:8192
25-09 05:48:04,0.498,0.249,99.254,0.0,0.0,0.0,941568000.0,4890624.0,138354688.0,7286083584.0,0.0,32768.0,3447.0,1435.0,0.0,7.0,java / 0:8192
25-09 05:48:05,0.251,0.251,99.499,0.0,0.0,0.0,941502464.0,4890624.0,138354688.0,7286149120.0,0.0,0.0,6220.0,2044.0,0.0,0.0,java / 0:8192
25-09 05:48:06,0.500,0.0,99.0,0.500,0.0,0.0,941461504.0,4898816.0,138354688.0,7286181888.0,0.0,32768.0,3445.0,1461.0,0.0,3.0,java / 0:8192
25-09 05:48:07,0.496,0.744,98.759,0.0,0.0,0.0,941428736.0,4898816.0,138354688.0,7286214656.0,0.0,0.0,3447.0,1451.0,0.0,0.0,java / 0:8192
25-09 05:48:08,0.501,0.0,99.499,0.0,0.0,0.0,941592576.0,4898816.0,138354688.0,7286050816.0,0.0,0.0,6178.0,1986.0,0.0,0.0,java / 0:8192
25-09 05:48:09,0.250,0.250,99.500,0.0,0.0,0.0,941559808.0,4898816.0,138354688.0,7286083584.0,0.0,0.0,3511.0,1539.0,0.0,0.0,java / 0:8192
