"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster-worker-3",,,,"User:","ubuntu"
"Cmdline:","dstat --time -c -m -d -n --io --top-bio --output rf3t2_cidd_3.csv",,,,"Date:","26 Sep 2019 04:37:22 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",,"io/total",,"most expensive"
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","read","writ","block i/o process"
26-09 04:37:22,0.159,0.072,94.904,4.863,0.0,0.003,501288960.0,7892992.0,148832256.0,3485310976.0,8528.253,17306.927,0.0,0.0,0.090,0.422,java / 50:0
26-09 04:37:23,0.503,0.503,98.995,0.0,0.0,0.0,501350400.0,7892992.0,148848640.0,3485233152.0,1048576.0,0.0,503.0,2033.0,4.0,0.0,java / 1048576:0
26-09 04:37:24,0.995,0.498,98.507,0.0,0.0,0.0,501477376.0,7892992.0,148848640.0,3485106176.0,1048576.0,0.0,347.0,1489.0,4.0,0.0,java / 1048576:0
26-09 04:37:25,0.503,0.0,99.497,0.0,0.0,0.0,501473280.0,7892992.0,148979712.0,3484979200.0,1179648.0,0.0,239.0,945.0,5.0,0.0,java / 1179648:0
26-09 04:37:26,0.995,0.498,98.010,0.498,0.0,0.0,501342208.0,7892992.0,148983808.0,3485106176.0,1048576.0,0.0,239.0,945.0,4.0,0.0,java / 1048576:0
26-09 04:37:27,0.498,0.498,98.507,0.498,0.0,0.0,501510144.0,7892992.0,149037056.0,3484884992.0,1048576.0,0.0,389.0,1531.0,4.0,0.0,java / 1048576:0
26-09 04:37:28,0.0,0.0,99.492,0.508,0.0,0.0,501501952.0,7901184.0,149037056.0,3484884992.0,1048576.0,49152.0,239.0,945.0,4.0,3.0,java / 1048576:0
26-09 04:37:29,0.500,0.500,99.0,0.0,0.0,0.0,501501952.0,7901184.0,149037056.0,3484884992.0,1048576.0,0.0,239.0,961.0,4.0,0.0,java / 1048576:0
26-09 04:37:30,0.495,0.990,98.020,0.495,0.0,0.0,501481472.0,7901184.0,148930560.0,3485011968.0,1048576.0,0.0,347.0,1489.0,4.0,0.0,java / 1048576:0
26-09 04:37:31,0.505,0.0,99.495,0.0,0.0,0.0,501559296.0,7901184.0,148979712.0,3484884992.0,1048576.0,0.0,239.0,945.0,4.0,0.0,java / 1048576:0
26-09 04:37:32,0.995,0.498,98.507,0.0,0.0,0.0,501559296.0,7901184.0,148979712.0,3484884992.0,1048576.0,0.0,239.0,945.0,4.0,0.0,java / 1048576:0
26-09 04:37:33,1.0,0.0,97.0,2.0,0.0,0.0,501551104.0,7909376.0,148979712.0,3484884992.0,1048576.0,86016.0,347.0,1489.0,4.0,12.0,java / 1048576:8192
