"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster-master",,,,"User:","ubuntu"
"Cmdline:","dstat --time -c -m -d -n --io --top-bio --output rf3t2_cidd_master.csv",,,,"Date:","26 Sep 2019 04:37:01 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",,"io/total",,"most expensive"
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","read","writ","block i/o process"
26-09 04:37:01,0.164,0.067,82.055,17.711,0.0,0.003,895967232.0,10498048.0,246132736.0,7218298880.0,3742.775,13937.344,0.0,0.0,0.043,0.346,bash / 2:0
26-09 04:37:02,1.0,0.250,98.750,0.0,0.0,0.0,896438272.0,10498048.0,246046720.0,7217913856.0,0.0,0.0,5161.0,2540.0,0.0,0.0,bash / 2:0
26-09 04:37:03,0.251,0.251,99.248,0.251,0.0,0.0,896397312.0,10506240.0,246046720.0,7217946624.0,0.0,45056.0,4004.0,1513.0,0.0,2.0,bash / 2:0
26-09 04:37:04,0.251,0.501,99.248,0.0,0.0,0.0,896491520.0,10506240.0,246046720.0,7217852416.0,0.0,0.0,4147.0,2095.0,0.0,0.0,bash / 2:0
26-09 04:37:05,0.500,0.250,99.250,0.0,0.0,0.0,896458752.0,10506240.0,246046720.0,7217885184.0,0.0,0.0,5161.0,1828.0,0.0,0.0,bash / 2:0
26-09 04:37:06,0.499,0.249,99.252,0.0,0.0,0.0,896425984.0,10506240.0,246046720.0,7217917952.0,0.0,0.0,4190.0,2111.0,0.0,0.0,bash / 2:0
26-09 04:37:07,0.251,0.251,99.499,0.0,0.0,0.0,896393216.0,10506240.0,246046720.0,7217950720.0,0.0,0.0,4069.0,1609.0,0.0,0.0,bash / 2:0
26-09 04:37:08,0.500,0.500,99.0,0.0,0.0,0.0,896557056.0,10506240.0,246046720.0,7217786880.0,0.0,0.0,5095.0,1726.0,0.0,0.0,bash / 2:0
26-09 04:37:09,0.500,0.250,98.750,0.500,0.0,0.0,896516096.0,10514432.0,246046720.0,7217819648.0,0.0,12288.0,4004.0,1517.0,0.0,2.0,bash / 2:0
26-09 04:37:10,0.251,0.251,99.497,0.0,0.0,0.0,896483328.0,10514432.0,246046720.0,7217852416.0,0.0,0.0,4005.0,1527.0,0.0,0.0,bash / 2:0
26-09 04:37:11,0.499,0.249,99.252,0.0,0.0,0.0,896544768.0,10514432.0,246046720.0,7217790976.0,0.0,0.0,5097.0,1730.0,0.0,0.0,bash / 2:0
26-09 04:37:12,0.249,0.499,99.252,0.0,0.0,0.0,896512000.0,10514432.0,246046720.0,7217823744.0,0.0,32768.0,4084.0,1971.0,0.0,7.0,bash / 2:0
26-09 04:37:13,0.750,0.0,99.250,0.0,0.0,0.0,896708608.0,10514432.0,246046720.0,7217627136.0,0.0,0.0,4005.0,1529.0,0.0,0.0,bash / 2:0
26-09 04:37:14,0.750,0.250,99.0,0.0,0.0,0.0,896675840.0,10514432.0,246046720.0,7217659904.0,0.0,0.0,5098.0,1734.0,0.0,0.0,java / 0:4096
26-09 04:37:15,0.746,0.249,98.507,0.498,0.0,0.0,896634880.0,10522624.0,246046720.0,7217692672.0,0.0,16384.0,4008.0,1545.0,0.0,2.0,java / 0:4096
26-09 04:37:16,0.250,0.250,99.500,0.0,0.0,0.0,896602112.0,10522624.0,246046720.0,7217725440.0,0.0,0.0,4008.0,1539.0,0.0,0.0,java / 0:4096
26-09 04:37:17,0.748,0.249,99.002,0.0,0.0,0.0,896569344.0,10522624.0,246046720.0,7217758208.0,0.0,0.0,5102.0,1740.0,0.0,0.0,java / 0:4096
26-09 04:37:18,0.500,0.0,99.500,0.0,0.0,0.0,896536576.0,10522624.0,246046720.0,7217790976.0,0.0,0.0,4011.0,1527.0,0.0,0.0,java / 0:4096
26-09 04:37:19,0.250,0.500,99.250,0.0,0.0,0.0,896700416.0,10522624.0,246046720.0,7217627136.0,0.0,0.0,4011.0,1525.0,0.0,0.0,java / 0:4096
26-09 04:37:20,0.0,0.0,100.0,0.0,0.0,0.0,896794624.0,10522624.0,246046720.0,7217532928.0,0.0,0.0,5103.0,1742.0,0.0,0.0,java / 0:4096
26-09 04:37:21,0.748,0.249,98.504,0.499,0.0,0.0,896753664.0,10530816.0,246046720.0,7217565696.0,0.0,12288.0,4012.0,1527.0,0.0,2.0,java / 0:4096
26-09 04:37:22,0.251,0.0,99.749,0.0,0.0,0.0,896720896.0,10530816.0,246046720.0,7217598464.0,0.0,0.0,4077.0,1643.0,0.0,0.0,java / 0:4096
26-09 04:37:23,0.251,0.251,99.499,0.0,0.0,0.0,896688128.0,10530816.0,246046720.0,7217631232.0,0.0,0.0,5103.0,1742.0,0.0,0.0,java / 0:4096
26-09 04:37:24,0.752,0.0,99.248,0.0,0.0,0.0,896782336.0,10530816.0,246046720.0,7217537024.0,0.0,0.0,4012.0,1527.0,0.0,0.0,java / 0:4096
26-09 04:37:25,0.251,0.251,99.499,0.0,0.0,0.0,897073152.0,10530816.0,246046720.0,7217246208.0,0.0,0.0,4011.0,1525.0,0.0,0.0,java / 0:4096
26-09 04:37:26,0.748,0.249,99.002,0.0,0.0,0.0,897007616.0,10530816.0,246046720.0,7217311744.0,0.0,0.0,5103.0,1742.0,0.0,0.0,java / 0:4096
26-09 04:37:27,0.499,0.249,98.753,0.499,0.0,0.0,896966656.0,10539008.0,246046720.0,7217344512.0,0.0,57344.0,4012.0,1527.0,0.0,7.0,java / 0:8192
26-09 04:37:28,0.250,0.500,99.250,0.0,0.0,0.0,896929792.0,10539008.0,246050816.0,7217377280.0,0.0,0.0,4077.0,1659.0,0.0,0.0,java / 0:8192
26-09 04:37:29,0.500,0.250,99.250,0.0,0.0,0.0,897024000.0,10539008.0,246050816.0,7217283072.0,0.0,0.0,5103.0,1742.0,0.0,0.0,java / 0:8192
26-09 04:37:30,0.251,0.251,99.497,0.0,0.0,0.0,896991232.0,10539008.0,246050816.0,7217315840.0,0.0,0.0,4012.0,1551.0,0.0,0.0,java / 0:4096
26-09 04:37:31,0.500,0.250,99.250,0.0,0.0,0.0,897155072.0,10539008.0,246050816.0,7217152000.0,0.0,0.0,4011.0,1549.0,0.0,0.0,java / 0:4096
26-09 04:37:32,0.251,0.251,98.997,0.501,0.0,0.0,897122304.0,10547200.0,246042624.0,7217184768.0,0.0,40960.0,5105.0,1766.0,0.0,3.0,java / 0:4096
26-09 04:37:33,0.500,0.250,99.250,0.0,0.0,0.0,897081344.0,10547200.0,246050816.0,7217217536.0,0.0,0.0,4012.0,1543.0,0.0,0.0,java / 0:4096
26-09 04:37:34,0.0,0.251,99.749,0.0,0.0,0.0,897175552.0,10547200.0,246050816.0,7217123328.0,0.0,0.0,4011.0,1549.0,0.0,0.0,java / 0:4096
26-09 04:37:35,0.752,0.251,98.997,0.0,0.0,0.0,897142784.0,10547200.0,246050816.0,7217156096.0,0.0,0.0,5171.0,1844.0,0.0,0.0,java / 0:4096
26-09 04:37:36,0.250,0.250,99.500,0.0,0.0,0.0,897433600.0,10547200.0,246050816.0,7216865280.0,0.0,0.0,4012.0,1527.0,0.0,0.0,java / 0:4096
26-09 04:37:37,0.251,0.251,99.499,0.0,0.0,0.0,897527808.0,10547200.0,246050816.0,7216771072.0,0.0,0.0,4053.0,1567.0,0.0,0.0,java / 0:4096
26-09 04:37:38,0.503,0.251,99.246,0.0,0.0,0.0,897581056.0,10555392.0,246050816.0,7216709632.0,0.0,16384.0,5107.0,1742.0,0.0,2.0,java / 0:4096
26-09 04:37:39,0.250,0.250,99.500,0.0,0.0,0.0,897548288.0,10555392.0,246050816.0,7216742400.0,0.0,0.0,4158.0,2115.0,0.0,0.0,java / 0:4096
26-09 04:37:40,0.251,0.0,99.749,0.0,0.0,0.0,897515520.0,10555392.0,246050816.0,7216775168.0,0.0,0.0,4011.0,1525.0,0.0,0.0,java / 0:4096
26-09 04:37:41,0.251,0.251,99.499,0.0,0.0,0.0,897609728.0,10555392.0,246050816.0,7216680960.0,0.0,0.0,5107.0,1742.0,0.0,0.0,java / 0:4096
26-09 04:37:42,0.750,0.250,99.0,0.0,0.0,0.0,897916928.0,10555392.0,246050816.0,7216373760.0,0.0,0.0,4014.0,1527.0,0.0,0.0,java / 0:12288
26-09 04:37:43,0.500,0.250,99.250,0.0,0.0,0.0,897884160.0,10555392.0,246050816.0,7216406528.0,0.0,0.0,4012.0,1657.0,0.0,0.0,java / 0:12288
26-09 04:37:44,0.499,0.249,98.753,0.499,0.0,0.0,897843200.0,10563584.0,246050816.0,7216439296.0,0.0,16384.0,5173.0,2440.0,0.0,2.0,java / 0:12288
26-09 04:37:45,0.746,0.249,99.005,0.0,0.0,0.0,897810432.0,10563584.0,246050816.0,7216472064.0,0.0,0.0,4014.0,1543.0,0.0,0.0,java / 0:12288
