"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster-worker-8",,,,"User:","ubuntu"
"Cmdline:","dstat --time -c -m -d -n --io --top-bio --output rf3t_cidd_8.csv",,,,"Date:","25 Sep 2019 09:52:59 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",,"io/total",,"most expensive"
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","read","writ","block i/o process"
25-09 09:52:59,0.179,0.078,94.918,4.822,0.0,0.003,544190464.0,75345920.0,744140800.0,2779648000.0,8165.000,18248.525,0.0,0.0,0.094,0.419,java / 4610:7765
25-09 09:53:00,0.500,0.0,99.500,0.0,0.0,0.0,544337920.0,75345920.0,744144896.0,2779496448.0,0.0,0.0,175.0,1564.0,0.0,0.0,java / 4610:7765
25-09 09:53:01,0.0,0.0,100.0,0.0,0.0,0.0,544337920.0,75345920.0,744144896.0,2779496448.0,0.0,0.0,175.0,808.0,0.0,0.0,java / 4610:7765
25-09 09:53:02,0.995,0.0,99.005,0.0,0.0,0.0,544337920.0,75345920.0,744144896.0,2779496448.0,0.0,0.0,285.0,1354.0,0.0,0.0,java / 4610:7765
25-09 09:53:03,0.0,0.503,99.497,0.0,0.0,0.0,544337920.0,75345920.0,744144896.0,2779496448.0,0.0,0.0,175.0,808.0,0.0,0.0,java / 4610:7765
25-09 09:53:04,0.500,0.0,99.500,0.0,0.0,0.0,544337920.0,75345920.0,744144896.0,2779496448.0,0.0,24576.0,217.0,874.0,0.0,4.0,java / 0:8192
25-09 09:53:05,0.0,0.503,98.492,1.005,0.0,0.0,544460800.0,75354112.0,744144896.0,2779365376.0,0.0,36864.0,351.0,1464.0,0.0,2.0,java / 0:4096
25-09 09:53:06,0.498,0.498,99.005,0.0,0.0,0.0,544493568.0,75354112.0,744144896.0,2779332608.0,0.0,0.0,175.0,848.0,0.0,0.0,java / 0:4096
25-09 09:53:07,0.0,0.0,100.0,0.0,0.0,0.0,544493568.0,75354112.0,744144896.0,2779332608.0,0.0,0.0,175.0,808.0,0.0,0.0,java / 0:4096
25-09 09:53:08,0.498,0.498,99.005,0.0,0.0,0.0,544493568.0,75354112.0,744144896.0,2779332608.0,0.0,0.0,285.0,1354.0,0.0,0.0,java / 0:4096
25-09 09:53:09,0.500,0.0,99.500,0.0,0.0,0.0,544493568.0,75354112.0,744144896.0,2779332608.0,0.0,0.0,175.0,808.0,0.0,0.0,java / 0:4096
25-09 09:53:10,0.0,0.0,98.990,1.010,0.0,0.0,544485376.0,75362304.0,744144896.0,2779332608.0,0.0,20480.0,319.0,1364.0,0.0,2.0,java / 0:4096
25-09 09:53:11,0.500,0.0,99.500,0.0,0.0,0.0,544485376.0,75362304.0,744144896.0,2779332608.0,0.0,0.0,285.0,1370.0,0.0,0.0,java / 0:4096
25-09 09:53:12,0.498,0.498,99.005,0.0,0.0,0.0,544485376.0,75362304.0,744144896.0,2779332608.0,0.0,0.0,175.0,808.0,0.0,0.0,java / 0:4096
25-09 09:53:13,0.0,0.0,100.0,0.0,0.0,0.0,544485376.0,75362304.0,744144896.0,2779332608.0,0.0,0.0,331.0,1328.0,0.0,0.0,java / 0:4096
25-09 09:53:14,0.0,0.500,99.500,0.0,0.0,0.0,544452608.0,75362304.0,744144896.0,2779365376.0,0.0,0.0,363.0,2196.0,0.0,0.0,java / 0:4096
25-09 09:53:15,0.498,0.498,98.010,0.995,0.0,0.0,544444416.0,75370496.0,744144896.0,2779365376.0,0.0,12288.0,241.0,976.0,0.0,2.0,java / 0:4096
25-09 09:53:16,0.0,0.0,100.0,0.0,0.0,0.0,544444416.0,75370496.0,744144896.0,2779365376.0,0.0,0.0,253.0,1212.0,0.0,0.0,java / 0:4096
25-09 09:53:17,0.500,0.0,99.500,0.0,0.0,0.0,544444416.0,75370496.0,744144896.0,2779365376.0,0.0,0.0,285.0,1354.0,0.0,0.0,java / 0:4096
25-09 09:53:18,0.500,0.500,99.0,0.0,0.0,0.0,544444416.0,75370496.0,744144896.0,2779365376.0,0.0,0.0,175.0,808.0,0.0,0.0,java / 0:4096
25-09 09:53:19,0.500,0.0,99.500,0.0,0.0,0.0,544444416.0,75370496.0,744144896.0,2779365376.0,0.0,0.0,175.0,808.0,0.0,0.0,java / 0:4096
25-09 09:53:20,0.0,0.0,98.995,1.005,0.0,0.0,544403456.0,75378688.0,744144896.0,2779398144.0,0.0,12288.0,351.0,1456.0,0.0,2.0,java / 0:4096
25-09 09:53:21,0.503,0.0,99.497,0.0,0.0,0.0,544403456.0,75378688.0,744144896.0,2779398144.0,0.0,0.0,175.0,824.0,0.0,0.0,java / 0:4096
25-09 09:53:22,0.498,0.498,99.005,0.0,0.0,0.0,544403456.0,75378688.0,744144896.0,2779398144.0,0.0,0.0,241.0,910.0,0.0,0.0,java / 0:4096
25-09 09:53:23,0.0,0.500,99.500,0.0,0.0,0.0,544403456.0,75378688.0,744144896.0,2779398144.0,0.0,0.0,285.0,1354.0,0.0,0.0,java / 0:4096
25-09 09:53:24,0.0,0.0,100.0,0.0,0.0,0.0,544403456.0,75378688.0,744144896.0,2779398144.0,0.0,0.0,175.0,808.0,0.0,0.0,java / 0:4096
25-09 09:53:25,0.0,1.0,98.500,0.500,0.0,0.0,544395264.0,75386880.0,744144896.0,2779398144.0,0.0,12288.0,241.0,910.0,0.0,2.0,java / 0:4096
25-09 09:53:26,0.500,0.0,99.500,0.0,0.0,0.0,544391168.0,75386880.0,744148992.0,2779398144.0,0.0,0.0,351.0,1472.0,0.0,0.0,java / 0:4096
25-09 09:53:27,0.500,0.0,99.500,0.0,0.0,0.0,544391168.0,75386880.0,744148992.0,2779398144.0,0.0,0.0,175.0,808.0,0.0,0.0,java / 0:4096
25-09 09:53:28,0.0,0.0,100.0,0.0,0.0,0.0,544358400.0,75386880.0,744148992.0,2779430912.0,0.0,0.0,175.0,808.0,0.0,0.0,java / 0:4096
25-09 09:53:29,0.0,0.500,99.500,0.0,0.0,0.0,544358400.0,75386880.0,744148992.0,2779430912.0,0.0,0.0,285.0,1354.0,0.0,0.0,java / 0:4096
25-09 09:53:30,0.495,0.495,98.020,0.990,0.0,0.0,544358400.0,75395072.0,744140800.0,2779430912.0,0.0,12288.0,175.0,808.0,0.0,2.0,java / 0:4096
25-09 09:53:31,0.0,0.0,100.0,0.0,0.0,0.0,544350208.0,75395072.0,744148992.0,2779430912.0,0.0,0.0,175.0,824.0,0.0,0.0,java / 0:4096
25-09 09:53:32,0.498,0.498,99.005,0.0,0.0,0.0,544350208.0,75395072.0,744148992.0,2779430912.0,0.0,0.0,285.0,1354.0,0.0,0.0,java / 0:4096
25-09 09:53:33,0.0,0.0,100.0,0.0,0.0,0.0,544350208.0,75395072.0,744148992.0,2779430912.0,0.0,0.0,175.0,808.0,0.0,0.0,java / 0:4096
25-09 09:53:34,0.500,0.0,99.500,0.0,0.0,0.0,544350208.0,75395072.0,744148992.0,2779430912.0,0.0,32768.0,175.0,808.0,0.0,5.0,java / 0:8192
25-09 09:53:35,0.0,0.503,99.497,0.0,0.0,0.0,544350208.0,75395072.0,744148992.0,2779430912.0,0.0,0.0,285.0,1394.0,0.0,0.0,java / 0:4096
25-09 09:53:36,0.500,0.0,99.0,0.500,0.0,0.0,544309248.0,75403264.0,744148992.0,2779463680.0,0.0,32768.0,241.0,934.0,0.0,3.0,java / 0:4096
25-09 09:53:37,0.0,0.500,99.500,0.0,0.0,0.0,544309248.0,75403264.0,744148992.0,2779463680.0,0.0,0.0,175.0,824.0,0.0,0.0,java / 0:4096
25-09 09:53:38,0.0,0.500,99.0,0.0,0.0,0.500,544309248.0,75403264.0,744148992.0,2779463680.0,0.0,0.0,285.0,1354.0,0.0,0.0,java / 0:4096
25-09 09:53:39,0.995,0.0,99.005,0.0,0.0,0.0,544309248.0,75403264.0,744148992.0,2779463680.0,0.0,28672.0,175.0,808.0,0.0,6.0,java / 0:4096
25-09 09:53:40,0.0,0.500,99.500,0.0,0.0,0.0,544309248.0,75403264.0,744148992.0,2779463680.0,0.0,0.0,175.0,824.0,0.0,0.0,java / 0:4096
25-09 09:53:41,0.0,0.0,97.487,2.513,0.0,0.0,544301056.0,75411456.0,744148992.0,2779463680.0,0.0,12288.0,351.0,1522.0,0.0,2.0,java / 0:4096
25-09 09:53:42,1.0,0.500,98.500,0.0,0.0,0.0,544268288.0,75411456.0,744148992.0,2779496448.0,0.0,0.0,571.0,2066.0,0.0,0.0,java / 0:8192
25-09 09:53:43,0.0,0.0,100.0,0.0,0.0,0.0,544268288.0,75411456.0,744148992.0,2779496448.0,0.0,0.0,175.0,832.0,0.0,0.0,java / 0:8192
