"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster-master",,,,"User:","ubuntu"
"Cmdline:","dstat --time -c -m -d -n --io --top-bio --output rf3t_cidd_master.csv",,,,"Date:","25 Sep 2019 09:52:21 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",,"io/total",,"most expensive"
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","recv","send","read","writ","block i/o process"
25-09 09:52:21,0.164,0.067,81.957,17.809,0.0,0.003,1001885696.0,100638720.0,415457280.0,6852915200.0,3742.706,13920.370,0.0,0.0,0.043,0.345,java / 0:89
25-09 09:52:22,0.500,0.0,99.500,0.0,0.0,0.0,1001979904.0,100638720.0,415461376.0,6852816896.0,0.0,24576.0,3775.0,2666.0,0.0,6.0,java / 0:8192
25-09 09:52:23,0.251,0.251,99.499,0.0,0.0,0.0,1002160128.0,100638720.0,415461376.0,6852636672.0,0.0,0.0,4138.0,2165.0,0.0,0.0,java / 0:8192
25-09 09:52:24,0.250,0.250,99.500,0.0,0.0,0.0,1002094592.0,100638720.0,415461376.0,6852702208.0,0.0,0.0,5697.0,2003.0,0.0,0.0,java / 0:8192
25-09 09:52:25,0.500,0.0,99.500,0.0,0.0,0.0,1002061824.0,100638720.0,415461376.0,6852734976.0,0.0,0.0,3589.0,1992.0,0.0,0.0,java / 0:8192
25-09 09:52:26,0.499,0.249,99.252,0.0,0.0,0.0,1002029056.0,100638720.0,415461376.0,6852767744.0,0.0,0.0,4060.0,1647.0,0.0,0.0,java / 0:8192
25-09 09:52:27,0.498,0.249,98.507,0.746,0.0,0.0,1001988096.0,100646912.0,415461376.0,6852800512.0,0.0,36864.0,5697.0,1979.0,0.0,2.0,java / 0:8192
25-09 09:52:28,0.0,0.251,99.749,0.0,0.0,0.0,1002119168.0,100646912.0,415461376.0,6852669440.0,0.0,0.0,3589.0,2024.0,0.0,0.0,java / 0:8192
25-09 09:52:29,0.0,0.251,99.749,0.0,0.0,0.0,1002119168.0,100646912.0,415461376.0,6852669440.0,0.0,0.0,4060.0,1647.0,0.0,0.0,java / 0:8192
25-09 09:52:30,0.250,0.250,99.500,0.0,0.0,0.0,1002086400.0,100646912.0,415461376.0,6852702208.0,0.0,0.0,5697.0,1979.0,0.0,0.0,java / 0:8192
25-09 09:52:31,0.500,0.250,99.250,0.0,0.0,0.0,1002053632.0,100646912.0,415461376.0,6852734976.0,0.0,0.0,3511.0,1538.0,0.0,0.0,java / 0:8192
25-09 09:52:32,0.0,0.251,99.749,0.0,0.0,0.0,1002020864.0,100646912.0,415461376.0,6852767744.0,0.0,24576.0,4060.0,1647.0,0.0,5.0,java / 0:8192
25-09 09:52:33,0.500,0.0,99.0,0.500,0.0,0.0,1001934848.0,100651008.0,415461376.0,6852849664.0,0.0,12288.0,5697.0,1995.0,0.0,2.0,java / 0:8192
25-09 09:52:34,0.0,0.251,99.749,0.0,0.0,0.0,1002098688.0,100651008.0,415461376.0,6852685824.0,0.0,0.0,3511.0,1554.0,0.0,0.0,java / 0:8192
25-09 09:52:35,0.499,0.249,99.002,0.0,0.0,0.249,1002065920.0,100651008.0,415461376.0,6852718592.0,0.0,0.0,4060.0,1647.0,0.0,0.0,java / 0:8192
25-09 09:52:36,0.499,0.0,99.501,0.0,0.0,0.0,1002033152.0,100651008.0,415461376.0,6852751360.0,0.0,0.0,5697.0,1979.0,0.0,0.0,java / 0:8192
25-09 09:52:37,0.501,0.0,99.499,0.0,0.0,0.0,1002000384.0,100651008.0,415461376.0,6852784128.0,0.0,0.0,3511.0,1538.0,0.0,0.0,java / 0:8192
25-09 09:52:38,0.250,0.250,99.500,0.0,0.0,0.0,1001967616.0,100651008.0,415461376.0,6852816896.0,0.0,0.0,4060.0,1647.0,0.0,0.0,java / 0:8192
25-09 09:52:39,0.251,0.251,98.997,0.501,0.0,0.0,1002094592.0,100655104.0,415461376.0,6852685824.0,0.0,12288.0,5697.0,1979.0,0.0,2.0,java / 0:8192
25-09 09:52:40,0.748,0.0,99.252,0.0,0.0,0.0,1002127360.0,100655104.0,415461376.0,6852653056.0,0.0,0.0,3511.0,1554.0,0.0,0.0,java / 0:8192
25-09 09:52:41,0.0,0.500,99.500,0.0,0.0,0.0,1002094592.0,100655104.0,415461376.0,6852685824.0,0.0,0.0,4060.0,1647.0,0.0,0.0,java / 0:8192
25-09 09:52:42,0.251,0.0,99.749,0.0,0.0,0.0,1002029056.0,100655104.0,415461376.0,6852751360.0,0.0,0.0,5697.0,1979.0,0.0,0.0,java / 0:8192
25-09 09:52:43,0.250,0.250,99.500,0.0,0.0,0.0,1001996288.0,100655104.0,415461376.0,6852784128.0,0.0,0.0,3511.0,1538.0,0.0,0.0,java / 0:8192
25-09 09:52:44,0.251,0.0,99.749,0.0,0.0,0.0,1001996288.0,100655104.0,415461376.0,6852784128.0,0.0,0.0,4060.0,1648.0,0.0,0.0,java / 0:8192
25-09 09:52:45,0.250,0.250,99.0,0.500,0.0,0.0,1002127360.0,100663296.0,415453184.0,6852653056.0,0.0,12288.0,5697.0,1978.0,0.0,2.0,java / 0:8192
25-09 09:52:46,0.251,0.0,99.749,0.0,0.0,0.0,1002213376.0,100663296.0,415461376.0,6852558848.0,0.0,0.0,3511.0,1554.0,0.0,0.0,java / 0:8192
25-09 09:52:47,0.499,0.249,99.252,0.0,0.0,0.0,1002176512.0,100663296.0,415465472.0,6852591616.0,0.0,0.0,4060.0,1648.0,0.0,0.0,java / 0:8192
25-09 09:52:48,0.251,0.251,99.499,0.0,0.0,0.0,1002143744.0,100663296.0,415465472.0,6852624384.0,0.0,0.0,5775.0,2432.0,0.0,0.0,java / 0:8192
25-09 09:52:49,0.249,0.498,99.254,0.0,0.0,0.0,1002110976.0,100663296.0,415465472.0,6852657152.0,0.0,0.0,3511.0,1538.0,0.0,0.0,java / 0:8192
25-09 09:52:50,0.252,0.0,99.748,0.0,0.0,0.0,1002242048.0,100663296.0,415465472.0,6852526080.0,0.0,0.0,4060.0,1648.0,0.0,0.0,java / 0:8192
25-09 09:52:51,0.495,0.495,98.267,0.495,0.0,0.248,1002201088.0,100671488.0,415465472.0,6852558848.0,0.0,12288.0,5697.0,1978.0,0.0,2.0,java / 0:8192
25-09 09:52:52,0.251,0.0,99.749,0.0,0.0,0.0,1002168320.0,100671488.0,415465472.0,6852591616.0,0.0,40960.0,3511.0,1554.0,0.0,7.0,java / 0:8192
25-09 09:52:53,0.0,0.0,100.0,0.0,0.0,0.0,1002168320.0,100671488.0,415465472.0,6852591616.0,0.0,0.0,4060.0,1680.0,0.0,0.0,java / 0:8192
